,input,actual,predicted
138,"lugal-mu {d}nin-gir2-su en a husz gi4-a
","My king Ningirsu lord holding back the terrible water 
","My lord Ningirsu holding back the terrible water
"
139,"mu-na-du3
","he built for him 
","he built
"
140,"a-ba szar2-ra-na
","and what he has reiterated 
","and what he has reiterated
"
141,"za-e a-ba-a %a at-ta-ma-an-nam
","you whom 
","You will neither be increased nor diminished
"
142,"a mu-na-ru
","he dedicated this to himher
","he dedicated it to him
"
143,"a-gar3-a-gar3-ra ...
","I fill the meadows with water 
","They were arguing
"
144,"2(disz) gin2 ku3-babbar
","2 shekels of silver 
","2 shekels of silver
"
145,"giri3 x-...-a x x
","via  
","Four doves
"
146,"mu-du3
","he built 
","he built
"
147,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
148,"x MU GAN ... x tu-lu sza3 ...
"," slackening  mercy and pity Inanna it is yours 
","The man who makes
"
149,"u4 e2-an-na
","when Eanna 
","when the Eanna
"
150,"giri3 gu3-de2-a ab-ba-iri
","xxx 
","xxx
"
151,"... %a ...-szu
","he set up there 
","The accusatory finger was there pointing behind him
"
152,"{tug2}pala3 nam-nin-a bar-ra-na i-im-dul
","She has covered her body with the pala dress of ladyship 
","She was dressed in the pala garment she clad herself in pleasureallurestarsrosettes
"
153,"sze-ba lu2 szuku-dab5-ba-ne
","barley rations of the ration holding ones 
","Annual barley rations
"
154,"lu2 lunga e2-gibil
","xxx 
","xxx
"
155,"...{ki}-ke4
","its parapet  
","lancet
"
156,"su-mu-la-il3
","which SmlaIl 
","which SmlaIl
"
157,"ab-sin2-ta la-ag ri-ri-ga
","from the furrows clods struck down 
","from the furrows clods struck down
"
158,"lu2(LUGAL)-ma2-gur8-ra
","for Lumagura
","lancet
"
159,"ur-sag kal-ga
","the mighty warrior 
","the mighty warrior
"
160,"mu-kux(DU)
","delivery 
","delivery
"
161,"sag il2-la ul-le-esz e3-da-ni
","in beauty had come forth head held high 
","when the old woman left
"
162,"ku3-bi 2(u) 4(disz) sze
","its silver 24 grains 
","its silver 24 grains
"
163,"igi gig-gig igi gig-gu10 nu-mu-ni-ib2-be2
","The one whose eye hurtwith the igigig disease did not say my hurting eye 
","The one whose head hurtwith the saggig disease did not say my hurting head
"
164,"ugula ARAD2-{d}nanna
","foreman ARADNanna 
","foreman ARADNanna
"
165,"ARAD2-{d}nanna
","his servant 
","ARADNanna
"
166,"{d}na-ra-am-{d}suen masz2-ge6-ka igi ba-ni-in-du8-a
"," NaramSuen saw that in a nocturnal vision 
","NarmSn
"
167,"3(disz) nin-bur-szu-ma
","3 mana wool for Ninburuma 
","3 mana wool for Kubi
"
168,"sila4 nim-ma
","lamb born in the fall 
","lamb high lamb
"
169,"sza3-tam ARAD2-zu
","the szatam official is your servant 
","official seal of the is your servant
"
170,"lugal-uszumgal
","Lugaluumgal 
","is the one of Lugaluumgal
"
171,"nin-tur-tur-mu
","of Ninturturmu 
","lancet
"
172,"za3 sar-ra-ka-ni im-...
","He returned to the boundary of his garden 
","ukaletuda looked at the border of his garden
"
173,"3(u) 8(disz)
","total 38 
","total 38
"
174,"...-tar-ra szu-ba igi mi-ni-in-kur2 zi-...
","The Namtar demon had altered my appearance in its own hands and I was fleeing for my life 
","The allegiancesense of the land was forgotten and the homeland
"
175,"pesz2
","mouse 
","rodent
"
176,"lu2 a2 nig2-hul-dim2-ma
","A person who an act of wickedness shall order 
","A person who an act of evil
"
177,"dingir an gal-ta ki gal-sze3 gesztu2-ga-ni na-an-gub
","From the great heaven the goddess set her mind on the great below 
","From the great heaven she set her mind on the great below
"
178,"ARAD2-zu
","is your servant
","is your servant
"
179,"szu na-an-na-zi-zi
","Upon the standard 
","he must not raise a hand
"
180,"ki zu-ba-ga-ta
","from Zubaga 
","a type of wood or plant
"
181,"2(disz) gu4 niga {d}inanna
","2 oxen grainfed Inanna 
","2 oxen grainfed Inanna
"
182,"iti ...-kam
","of the nth month
","month
"
183,"3(disz) kusz udu ensi2 x ...
","3 sheephides for the governor of  
","3 sheephides of the governor
"
184,"zi3 dub-...-na8-na8 ...
","They were not consumers of heaped flour they were not drinkers of drawn water 
","flour carrier
"
185,"dumu lugal-TAR
","daughter of LugalTAR 
","LugalTAR
"
186,"sukkal-a-ni {d}nin-szubur-ra-ke4 egir-a-ni i3-im-gen
","her minister Ninubur traveled on behind her 
","She says to her minister Ninubur
"
187,"u3 i3 ab2 ud5-da gar-ra
","xxx 
","xxx
"
188,"sze-bi 2(u) 9(asz) 2(barig) gur
","its barley 29 gur 2 barig 
","its barley 29 gur 2 barig
"
189,"...-x-ab-ra-ra
","You shout together with the shouting storm 
","lancet
"
190,"{d}szar-ka3-li2-szar3-ri2
","arkaliarr 
","arkaliarri
"
191,"x x {d}mes-lam-ti-e3-a x x
","may Meslamtiea 
","to whom Meslamtiea
"
192,"mu hu-uh2-nu-ri{ki} ba-hul
","year unuri was destroyed 
","year unuri was destroyed
"
193,"a2 erin2-bi u4 4(gesz2) 3(u) 2(disz)-kam
","labor of the worktroop 272 workdays 
","labor involved 27 days
"
194,"diri 3(barig) 4(ban2) 5(disz) 1/2(disz) sila3 4(disz) gin2 mun 2(asz) gur-ta
","surplus 3 barig 4 ban2 5 12 sila3 4 shekels salt at 2 gur each 
","surplus 3 barig 4 ban2 5 12 sila3 4 shekels salt
"
195,"6(disz) 1/2(disz) u4-sze3
","for 6 12 days
","6 12 workman Undaga
"
196,"mu si-mu-ur4-ru{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul
","xxx 
","xxx
"
197,"ARAD2-da-ni-ir
","IbbiSuen 
","his servant
"
198,"x si x uri
","and for his own life 
","apple
"
199,"kin2-gi-a nam-dub-sar-ra-gin7 al-gig-ga mu-sze21
","Enki named among everything that has been named the assigned task of the scribal art as the most painstaking 
","The priestsmith Nintukalamma
"
200,"1(ban2) ninda 2(disz) gin2 i3 2(disz) gin2 naga
","1 ban2 1 ban2 ca 1 liters of bread 2 shekels 1 shekel ca 16 liter of oil and 2 shekels of alkali 
","1 ban2 bread 2 shekels oil 2 shekels alkaliplant
"
201,"... x TE u4 szu2-szu2-ru ninda sa6-ga dingir nig2-hul-a TUG2 nig2-sa-ha {gesz}kiri6-a gar-ni
"," a day of distress set good food for the evil god consisting of  fruit of the orchard 
","Did you see the tiny stillborn babies who do not know their own names How are they found there
"
202,"3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2
","3 sila3 of beer 2 sila3 of bread 5 shekels of onions 
","3 sila3 beer 2 sila3 bread 5 shekels onions
"
203,"adab{ki}
","of Adab 
","of Adab
"
204,"lugal-a-ni
","his master 
","his master
"
205,"1(bur3) 2(esze3) 1/2(iku) GAN2 1(u) la2 1/2(disz)-ta
","1 bur3 2 ee3 12 iku surface area at 1 less 1 each 
","1 bur3 2 ee3 12 iku surface area at 1 less 12 each
"
206,"AK-{d}en-lil2
","AKEnlil 
","lancet
"
207,"1(gesz2) 5(u) la2 1(disz) geme2 u4 1(disz)-sze3
","19 female laborer days 
","9 female laborer days
"
208,"zi-ga sza3 tum-malx(TUR3){ki}
","booked out in Tummal 
","credited to elludagan
"
209,"i3 hur-sag su ku3-ga gal2-la-zu
","When you put ie apply oil of the mountains on your pure body 
","It is the first mountain range
"
210,"in-du3-a
","built 
","built
"
211,"ki-en-gi-ra ud5-sag-bi ge26-e-me-en
","I am the cosmic bond of Sumer 
","at Sumer and Akkad a life
"
212,"ha-la ba-bi-a ha-ma-ni-in-gar-re-esz-am3
","they granted this to me as its lot and share 
","The aur and mansim sieves compete to see
"
213,"1(disz) masz-da3
","1 gazelle
","1 calfgazelle
"
214,"szudum-zu ki i3-tag-tag-ge
","Your tallying stick is planted in the ground 
","from militry service
"
215,"mes-he2 simug mu 3(u) 6(disz) i3-ak
","Mese the smith 36 years he ruled 
","3 years he ruled
"
216,"szesz-gar
","had the egar 
","The egar
"
217,"dingir ki-ag2-ga2-a-ni
","his beloved god
","his beloved god
"
218,"alan ARAD-ga2
","the statue of my servant 
","servant
"
219,"lugal-lu2-sa6-sa6
","Lugallusasa 
","xxx
"
220,"su-la2 sila4 ga
","dried cut of a suckling lamb 
","dried cut of a suckling lamb
"
221,"szu ab-ba-saga
","old Abbasaga 
","Abbasaga
"
222,"...-dub2 asz2 la-ga mu-...
","Has insulted as with clods he has cursed as with clods 
","I screamed and said to him
"
223,"mu {d}szu-{d}suen lugal-e ma2-dara3 abzu {d}en-ki-ka bi2-in-dim2
","year uSuen the king the boat Ibexofaps of Enki fashioned
","year uSuen the king the western wall muriqtidnim erected
"
224,"a-sza3 du6-gesz-i3-ka
","field Hillockofplantoil 
","field Hillockofplantoil
"
225,"ebih-a ka-tar-gu10 he2-si-il-x me-tesz2 he2-i-i
","In Ebih the mountain should praise me the mountain should extol me 
","The priestsmith Nintukalamma
"
226,"u2-a uri5{ki}-ma
","provider of Ur 
","provider of Ur
"
227,"an-na
","metal
","by An
"
228,"1(disz) tu-u4 TUG2 = %a s,u2-ba-tum
","62 lines in this column
","1 Meaya the mayor
"
229,"gu2 nu-gar-ra-bi
","Those of it that did not submit 
","5929 nails of willow
"
230,"nam-tar nam-ti-la
","and a fate of life 
","May a fate of life
"
231,"2(disz) udu niga 3(disz)-kam us2 2(disz) udu niga n-kam us2
","2 sheep barleyfed of 3rd grade 2 sheep barleyfed of th grade 
","2 sheep barleyfed of 3rd grade 2 sheep barleyfed of 4th grade
"
232,"zi-ga sza3-bi su-ga
","bookedouts therefroms restoreds 
","xxx
"
233,"{d}nin-mar{ki}
","A statue of Ninmar 
","For Ninmar
"
234,"hur-sag disz-kam bi-ri-bala
","He traversed the first mountain range 
","He traversed the 6th mountain range
"
235,"ul-sze3 mu-gi4-gi4
","The city Dabala 
","Burubirds shrieking
"
236,"nin-da uru17{ki}-ni ba-an-da-gul-la2
","To the detriment of the lady her city is destroyed 
","To the detriment of the lady her city is destroyed
"
237,"u4-ba en-mete-na
","At that time Enmetena  
","At that time Enmetena
"
238,"{d}inanna
","To Inanna
","For Inanna
"
239,"lagasz{ki}-ke4
","of Laga 
","of Laga
"
240,"lugal-a-ni-ir
","his master 
","his master
"
241,"lu2 gesz udun i3-na-szum2-da
","for the one who will put wood into the oven for him the king 
","When you attempt to converse with praisequote a proverb it falls at the feet ie fails
"
242,"2(asz) gu2 1(u) 4(disz) ma-na im-babbar2
","2 talents 14 mana of gypsum 
","2 talents 14 mana of gypsum
"
243,"szu bi2-ib2-ur3-a
","shall erase 
","shall erase
"
244,"lagasz{ki}
","Upon the standard 
","of Laga
"
245,"ka-zal-lu{ki} e2-sza3-...
","She abandoned Kazallu and the Eaghulu temple and went down to the netherworld 
","of Kazallu
"
246,"ARAD2 en-an-e-du7
","servant of Enanedu 
","servant of Enanedu
"
247,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
248,"ki-ag2 {d}en-lil2
","beloved of Enlil 
","beloved of Enlil
"
249,"... ku3-sig17 szu-na x ...
","The man removed the gold bracelet from upon her hand ie wrist 
","The gold xxx
"
250,"gu2-mur7-zu-ta za3 gu-du-zu-sze3 ...
","From your spine to the edge of your anus 
","The priestsmith Nintukalamma
"
251,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
252,"ma2 e-dab5
","boats were seized 
","were seized the boat
"
253,"... x x x ... x-x-gu10 na-dab5
","My son I shall instruct may  my instruction be seized 
","The Inappropriate person denouncerinformer
"
254,"tir tu-ru-da i3-dab5
","the Turudawoods took in charge 
","the Bigorchardwoods took in charge
"
255,"mes-an-ne2-pa3-da
","Mesanepada 
","Mesanepada
"
256,"hasz2-ba gur-ru-bi du10
","whose turning upon his thigh is good 
","Embodiment
"
257,"lugal an-ub-da limmu2-ba
","king of the four corners
","king of the four corners
"
258,"dab gesztu2 dugud a-ga-asz gi4 e2-dub-ba-a-asz
","I will say to you  possessor of cumbersome intelligence backwards facing towards ie inferior one of the scribal school 
","Surpassing description
"
259,"i3-gal2
","xxx 
","are here
"
260,"... x x x nig2-nam gal-zu x x ...
"," of everything wise one  
","Wise and attentive one of the gods
"
261,"gurum2-ak erin2
","inspection of labortroops 
","inspections of the worktroops
"
262,"{na4}algamesz sa2 du11 u4-da gur3-ru zadim-e-ne he2-me-en
","algame stone you shall be the daily regular fare brought by the precious stone workers 
","The anzam containers were sitting idle Dumuzid was no longer dwelling there
"
263,"mu {d}szu-{d}suen lugal
","year uSuen is king
","xxx
"
264,"la2-ia3 su-ga sze
","deficit repaid of barley 
","xxx
"
265,"...-ma
","You are your own deliberator advisor and lord 
","of Ningirsu
"
266,"... x-gu10 a gesz-ge-na-gu10 HI-HI
"," alas my  alas my beautifulscratched limbs 
","My
"
267,"lugal-a-ni
","his master
","his master
"
268,"n 5(disz) x x ...
"," 5  
","5
"
269,"nibru{ki}
","of Nippur 
","of Nippur
"
270,"sum4 sa6-sa6 u2-lal3 gux(KA)-gux(KA)
","Possessing beautiful beards eating the ulal plant 
","Like a beard of the herd
"
271,"lugal
","king 
","king
"
272,"lu2-{d}inanna sukkal
","LuInanna the sukkal 
","LuInanna the minister
"
273,"ARAD2-zu
","your servant 
","is your servant
"
274,"b'. i-na x-x-KI
","In the reedbed in the place of plenty birds  
","The one that paralyzed the pure rites
"
275,"er2-gu10 arhusz sza3-ne-sza4-gu10 x x he2-x-...
","May my tears  my compassion and mercy ie for me 
","I shall weep upon youon your behalfMy come near that for you
"
276,"ensi2-ke4 in-hul bi2-in-du11
","the governor treated her badly stated 
","The ruler living down
"
277,"ud ba-hi-a di nu-til-le-dam
","The days have multiplied no decision has yet been made
","One should not eat rocket there will be the paittum demondisease
"
278,"musz3-me alan-a-ni
","and on the face of his statue 
","either his statue
"
279,"en gaba-ri nu-tuku
","lord nohaver of rival 
","having no rival
"
280,"lugal ki-ag2-ni-e
","his master who loved him 
","The king of the Amorites
"
281,"gu2-ab-ba{ki}-sze3
","to Guabba 
","to Guabba
"
282,"1(u) 1(disz) kusz3 a-ba-mu-na-DU
","Gudea 
","the upper short side
"
283,"gu3-de2-a sag-sze3 nu2
","Gudea lying by the top 
","Gudea presented to a bed
"
284,"an-ta-sur-ra ga2-kam
","The Antasura is mine 
","Upon the standard
"
285,"abul nig2-ku5-da
","Gate of the Nigku taxes 
","5929 nails of willow
"
286,"szunigin 1(gesz2) 8(asz) 4(barig) 4(ban2) gur
","total 68 gur 4 barig 4 ban2
","total 68 gur 4 barig 4 ban2
"
287,"2(barig) sze-am3 al-ag2
","waren 2 barig Gerste dargemessen 
","2 barig barley ration the ploughman
"
288,"mu en-mah-gal-an-na en {d}inanna ba-hun
","year Enmagalana as en priestess of Innana was installed 
","xxx
"
289,"... x x bi x ...
","Holy Inanna wept bitterly for her spouse 
","Enanatuma
"
290,"e2 ni2-bi {d}tir-an-na sag-bi an-sze3 ...
","The aura of the house is a rainbow its head is raised towards heaven  
","The house of the chairholder
"
291,"igi du-un igi du-un szi-mu-un-szi-ib2-be2-e-ne
","Even if Lead lead they say to you 
","Possessing a profound mind true woman possessing a purebright heart I want to speak to you about your me
"
