"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"16";"2(u) 5(asz) 1(barig) 1(ban2) 8(disz) sila3 sze gur";"25 gur 1 barig 1 ban2 8 sila3 barley";"2 gur dates 2 ban2 each 1 gur 4 barig dates 15 sila3 each";"4.246549"
"17";"n ... ki a-szi-an-x";"with aian  with aian  with aian";"n from the side of 55 ninda the length 1 cubit the width 1 cubit the height";"1.143478"
"18";"2(disz) x x x 1(disz) udu ma-a-an-du i3-du8";"2    1 sheep mandu doorkeeper";"2 sheep skins soa@@ ked with ma@@ dder 1 shekels of glue";"4.456883"
"19";"u2 sze gesz-e3-a szabra-ne i3-gal2";"and barley threshed  of the chief house administrators  are here";"and one shekel of silver and one shekel of silver the chief minister";"7.347053"
"20";"($ blank space $) geme2 u4 1(disz)-sze3 a-sza3 bad3 du3-a";"workdays at the field erected wall";"18 workdays male laborers labor of the male laborers satout days labor surplus 4@@ 71 12";"2.908318"
"21";"lugal an-ub-da limmu2-ba a2-ni-a2 dumu ur-mes";"king of the four corners  is your servant  is your servant";"king of the four corners urmes son of ursaga";"35.738801"
"22";"ki ab-ba-sa6-ga-ta zu-ba-ga i3-dab5";"from abbasaga  zubaga  accepted";"from abbasaga did ulgiayamu accept month greatfestival second one";"9.535414"
"23";"1(u) 8(asz) 1(barig) kiszib3 ur-{d}ba-ba6 7(asz) 3(ban2) kiszib3 ur-{d}ig-alim dumu da-da";"and 18 gur 1 barig under seal of urbaba 7 gur 3 ban2 under seal of urigalim son of dada";"13 gur 1 ban2 8 23 sila3 8 shekels kak cheese the silver equivalent of their cheese 2 23 shekels 15 grains of silver";"3.956624"
"24";"5(asz) 2(barig) zi3 gur la2-ia3 nig2-ka9-ak la2-ia3";"5 gur 2 barig flour  deficit of the account";"5 gur 2 barig of dates 2 ban2 bran royal measure";"24.808415"
"25";"b. 5(disz) kusz3 dagal a. 1(u) 1(disz) kusz3 gid2";"5 cubits the width  11 cubits the length";"it is to be replaced month harvest year after princess";"2.098057"
"26";"2(u) 9(asz) 4(barig) 1(ban2) zi3 gur";"29 gur 4 barig 1 ban2 flour";"2 gur of barley its emmer 2 gur 2 barig";"4.990050"
"27";"pisan-dub-ba kiszib3 dab-ba da-da-mu";"basketoftablets  sealed documents of dab  dadamu";"basketoftablets sealed documents of adu foreman of weavers";"34.572078"
"28";"sze de6-a gur-gi mu sza-asz-ru-um ba-hul";"barley delivered  year arum was destroyed";"barley delivered year arum was destroyed";"100.000000"
"29";"sipa udu niga-ke4 a mu-na-ru";"the shepherd of the fattened sheep   dedicated this seal";"and royal gardeners had charge of them the orphan to the rich man the orphan to the rich man";"2.664321"
"30";"sze bala-bi 4(barig) 1(gesz'u) 8(gesz2) 6(asz) 4(barig) 1(ban2) 8(disz) sila3 gur";"its bala barley 4 barig and 186 gur 4 barig 1 ban2 8 sila3";"debt grain in the u@@ uma household 79 gur 2 ban2 7 sila3 barley";"4.016138"
"31";"ur-e2-masz dub-sar dumu ur-sila-luh";"urema  scribe  son of ursilalu";"urkununa scribe son of nannamaba";"39.763536"
"32";"1(disz) sila4 AN ...-x 1(disz) udu niga siskur2 {d}nanna";"1 lamb   1 sheep grainfed offering of nanna";"1 lamb that of disappearance in the palace 1 lamb 1 sheep grainfed offering of nanna";"44.285001"
"33";"a2-bi u4 1(gesz2) 1(disz) 1(gesz'u) 2(u) 8(disz) 1/3(disz) sar al 6(disz) 1/2(disz) sar-ta";"its labor 61 days  628 13 sar at 6 12 sar a day";"its labor 63 workdays 1 less 1 sar hoed at 3 sar per day its labor 63 workdays";"5.653041"
"34";"iri-sa12-rigx(|PA.MUNUS.HUB2.DU|){ki}-ta u4 2(disz)-sze3 kun-zi-da {gesz}kiri6 gesztin-sze3 ma2 diri-ga";"from irisagrig  two workdays to reservoir of   vineyard barge floated";"from irisagrig two workdays to reservoir of vineyard barge punted for 1 workday at uriruvillage barley transferred";"47.967645"
"35";"1(u) 7(asz) 2(ban2) gur kiszib3 ur-e2-ninnu";"17 gur 2 ban2 under seal of ureninnu";"1 gur 7 12 sila3 kak cheese";"5.693025"
"36";"sze-bi 1(u) 4(asz) 1(barig) gur a-sza3 pu2-a2-uz";"its barley 14 gur 1 barig  field puauz";"its barley 14 gur field puauz";"43.298201"
"37";"sza3 umma{ki} mu us2-sa e2 puzur4 ba-du3";"in umma  year following the house of puzri was built";"in umma the tra@@ der of the tra@@ der";"10.147104"
"38";"3(gesz2) gurusz u4 1(disz)-sze3 kiszib3-bi 2(disz)-am3";"18 workdays male laborers the sealed documents are 2";"3 male laborers for 1 less 1 days at the mouth of the waterway rushes cut for 1 day onto a barge convoy bound";"3.482271"
"39";"dingir-sukkal 5(disz) sila3 kasz 5(disz) sila3 ninda 2(disz) sa szum2";"for dingirsukkal  5 sila3 beer 5 sila3 bread 2 bundles onions";"for dingirsukkal 5 sila3 beer 5 sila3 bread 2 bundles onions";"100.000000"
"40";"szunigin 1(bur3) 4(iku) 1/4(iku) GAN2 8(disz)-ta";"total 1 bur3 4 14 iku surface area at 8 each";"total 1 bur3 4 14 iku surface area at 8 12 each";"82.651682"
"41";"1(disz) udu 1(disz) sila4 1(disz) sila4 ga";"1 ram  1 male lamb  1 male suckling lamb";"1 sheep 1 lamb slaughtered the 21st day";"6.413885"
"42";"1(u) la2 1(disz) udu 3(disz) masz2";"1 less 1 rams  3 billy goats";"1 less 1 oxen grainfed fine quality";"24.446151"
"43";"2(disz) ad7 gu4 2(disz) kun gu4";"2 carcases of oxen  5 tails of oxen";"2 carcasses of oxen tendon of 2 oxen";"13.888095"
"44";"iti sze-sag11-ku5 mu {d}szu-{d}suen lugal 2(gesz2) 5(u) 5(disz)";"month harvest  year usuen is king  total 175";"month harvest year usuen king of ur bigstele for enlil and ninlil made";"20.448007"
"45";"szunigin 1(bur3) GAN2 1(u) la2 1/2(disz)-ta";"total 1 bur3 surface area at 1 less 12 each";"total 1 bur3 surface area at 1 less 1 each";"78.254229"
"46";"mu hu-uh2-nu-ri{ki} ba-hul 8(disz)";"year unuri was destroyed  total 8";"year unuri was destroyed total 8";"100.000000"
"47";"inim-{d}szara2 engar dumu ur-{gesz}gigir 1(bur3) 1(esze3) GAN2 1(u) 1(disz)-ta";"inimara the plowman son of urgigir  1 bur3 1 ee3 surface area at 11 each";"inimara the plowman son of urgigir";"22.313016"
"48";"kiszib3 lu2-gu-la sanga {d}dumu-zi ur-nig2-e";"under seal of lugula  high priest of dumuzi  by urnig";"under seal of lugula and 27 gur 3 barig";"26.708680"
"49";"3(gesz'u) sze gur 4(u) gig gur";"18 gur barley  4 gur wheat";"3 male laborers for 1 less 1 days at the mouth of the waterway rushes cut for 1 day onto a barge convoy bound";"0.786647"
"50";"a2-bi u4 4(szar2) 4(gesz'u) 8(gesz2) 3(u) 4(disz) 1/2(disz)";"labor involved 17314 12 workdays";"its labor 47 workdays 96 sar hoeing at n sar each labor of the free days";"2.908318"
"51";"1(u) gin2 ku3-babbar ki {d}nin-gir2-su-i3-sa6-ta ur-{d}lamma";"1 shekels silver  from ningirsuisa  did urlamma";"1 shekel silver labor of urikur from lugalazida";"7.267884"
"52";"lugal an-ub-da limmu2-ba ur-{d}... dub-sar";"king of the four corners ur scribe";"king of the four corners ur@@ g@@ al scribe";"46.713798"
"53";"geme2 kikken2 {gesz}tukul-e-dab5-ba-me 2(asz) 1(barig) 3(ban2) gur";"for the female millers seized by the weapons 2 gur 1 barig 3 ban2";"female laborers halflabor their 12th 7 13 mana 7 shekels less 15 grains silver";"2.839839"
"54";"nu-banda3 e-lu-da-an sza3 unu{ki} giri3 lugal-am-gal";"supervisor eludan  in uruk  via lugalamgal";"the overseer son of lar@@ sa@@ s he had fashioned for him";"1.693249"
"55";"8(disz) udu ... 1(disz) udu ...";"8 sheep   1 sheep";"8 sheep grainfed for inanna in the place of the gods";"7.495553"
"56";"{d}nansze-kam lu2 lunga u3 si-i3-tum lu2 didli";"nanekam brewer  and the deficit documents of various men";"for lugale@@ ga did ursag@@ utu son of lugal@@ pada the gu@@ ur@@ professional";"3.377156"
"57";"pisan-dub-ba nig2-ka9-ak sze gu4 engar";"basketoftablets  accounts  barley oxen plowman";"basketoftablets accounts of barley silver copper of the exchange agents and foremen of weavers";"6.285596"
"58";"5(disz) gu4 niga 1(disz) gu4 gun3-a niga";"5 oxen grainfed  1 ox speckled grainfed";"56 oxen barleyfed 1 breeding bull barleyfed";"7.809850"
"59";"szunigin sze-bi 5(u) 1(asz) 4(barig) 2(ban2) gur";"total its grain 51 gur 4 barig 2 ban2";"total its barley 319 gur 1 barig 3 ban2";"11.990148"
"60";"mu-dab5 igi-ni in-gar mu lugal u4 a-ra2 2(disz)-ka";"he was captured  and presented  by the royal name when a 2nd time";"seized kazallu demolished its walls and set it for gra@@ zing animals";"3.115729"
"61";"a-sza3 du6-gesz-i3-ka {d}szara2-zi-da engar 1(bur3) GAN2 1(u)-ta";"field hillockofurbartab  arazida the plowman  1 bur3 surface area at 1 each";"field hillockofplantoil lugalunire the plowman 2 bur3 4 iku surface area at 1 less 1 each";"21.874057"
"62";"u3-tu-da giri3 bu3-lu5-lu5 mu-kux(DU)";"newborns  via bululu  delivery";"delivery of ab@@ ru@@ er urbaba was enforcer 1 lamb ugid offering";"3.386499"
"63";"b. n 3(disz) us2 x 4(disz) gurusz-bi x";"n  3 ninda the side   4 its workmen";"like a us@@ eless ala@@ la stick he is propped in a corner like a us@@ eless ala@@ la stick he is propped in a corner";"0.722290"
"64";"sag-nig2-gur11-ra-kam sza3-bi-ta 6(gesz2) gurusz u4 1(disz)-sze3";"are the debit  therefrom  36 male laborer workdays";"are the debit therefrom 1 talent 5 mana copper";"29.847459"
"65";"1(disz) udu a-lum gesz-du3 1(u) la2 1(disz) udu a-lum";"1 alumsheep breeder  9 alumsheep";"1 sheep alum grainfed slaughtered among the old women of the governor";"3.386499"
"66";"sahar ($ blank space $) 1(u) 4(disz) ninda 1/3(disz) sar-ta";"its soil   14 ninda long at 13 sar per ninda";"15 female laborers for 3 days beer from the brewery to new palace carried";"1.419919"
"67";"{u2}har-an ga6-ga2 kiszib3 na-ba-sa6 1(gesz2) 5(u) 5(disz) geme2 u4 1(disz)-sze3";"harangrass carried  under seal of nabasa  115 workdays";"and the euphrates picked it up and carried it away and the euphrates picked it up and carried it away";"1.914603"
"68";"5(u) 5(disz) masz2-gal u4 2(u)-kam ki ab-ba-sa6-ga-ta";"55 billy goats full grown  2th day  from abbasaga";"15 female laborers for 3 days beer from the brewery to new palace carried";"2.839839"
"69";"5(disz) gurusz ugula i3-kal-la 1(u) ugula tab-sza-la";"5 male laborers  foreman ikalla  1 foreman tabala";"15 gardener 4 foreman of runners";"5.815868"
"70";"iti masz-ku3-gu7 1(u) 5(disz) udu 4(disz) masz2 1(u) 4(disz) gin2-ta";"month gazellefeast  15 rams 4 billy goats 14 shekels each";"year after the mar@@ tu@@ wall was erected luara";"2.133166"
"71";"sze-bi 4(u) 4(asz) 1(barig) gur a-sza3 zalag-ga-a-gesztin";"its barley 44 gur 1 barig  field zalagaagetin";"its barley 4 gur field king 1 bur3 1 ee3 4 iku field area";"7.141816"
"72";"bala im-ma su-ga-ta gi-zi ze2-de3 usz-mu";"from the balaobligation of the last year that was repaid  to cut fresh reeds  uu";"you insta@@ ll the en priestess in the gipar cloister you put in place its care@@ taking you insta@@ ll the en priestess in the gipar cloister you put in place its care@@ taking";"1.294453"
"73";"szunigin 1/2(iku) GAN2 1(u)-ta szunigin 2(bur3) 1(iku) 1/4(iku) GAN2 1(u) la2 1/2(disz)-ta";"total 2 bur3 1 12 iku surface area at 1 each  total 2 bur3 1 14 iku surface area at 1 less 12 each";"total 12 bur3 12 iku surface area at 12 each total 47 bur3 2 ee3 12 iku surface area at 11 each total 5 bur3 2 ee3 1 14 iku surface area at 1 12 each";"31.028453"
"74";"zu-ba-ga i3-dab5 iti u5-bi2-gu7";"zubaga  accepted  month ubifeast";"se@@ sa@@ me length length length length";"3.283637"
"75";"1(disz) az ($ blank space $) 4(disz)";"1 bear total 4";"1 bear cub from ursuen the kings son delivery";"9.535414"
"76";"sze-bi 6(asz) gur iti ezem-{d}szul-gi 2(gesz2) 3(u) udu niga 1(disz) 1/2(disz) sila3-ta";"its barley 6 gur  month ulgi  15 sheep grainfed at 1 12 sila3 each";"its barley 6 gur month festival of ulgi year usuen king of ur the house of ara of umma";"19.835441"
"77";"nu-ur2-i3-li2 5(disz) sila3 kasz 3(disz) sila3 ninda 3(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga";"for nril  5 sila3 beer 3 sila3 bread 3 shekels onions 3 shekels oil 2 shekels alkaliplant";"for nril 5 sila3 beer 3 sila3 bread 2 bundles onions 3 shekels oil 2 shekels alkaliplant";"76.246586"
"78";"1(u) 3(disz) geme2 u4 1(disz)-sze3 a i7-de3 usz2-a";"13 female laborer workdays  water to the river";"1 gur 3 barig of barley its workmen five days for harvesting barley";"1.544528"
"79";"iti masz-da3-gu7 mu us2-sa ur-bi-lum{ki} ba-hul";"month gazellefeast  year after urbilum was destroyed";"year after simanum was destroyed";"20.252885"
"80";"kin-bi 2(u) 6(disz) 2/3(disz) sar e e2-lugal-sze3";"its work 26 23 volumesar  to the ditch of royal household";"its work 2 23 volumesar 5 volumeshekels";"10.489672"
"81";"kas4 szusz3 gur8-za-an x-dar";"kas the cattle administrator  gurzan  dar";"nin@@ lu dedicated it this bowl to himher";"2.761199"
"82";"iti 1(u) 2(disz)-kam mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} ba-hul";"a period of 12 months  year amarsuen the king urbilum destroyed";"for 1 day grain transferred grain onto a barge loaded for 2 days from the royal waterway to the mouth of the waterway barge punted for 1 day at the mouth of the waterway barge transferred";"1.349412"
"83";"sze ab-ba muhaldim ensi2-ka e2-gibil ab-ba muhaldim-ta";"gerste des abba des koches des stadtfrsten  aus dem neuhaus des abba des koches";"grain pole punting pole pole of the metal a tool of the metal pole";"1.419919"
"84";"ki ur-{d}ur3-bar-tab-ta 3(u) 6(disz) geme2 3(ban2)";"from ururtab  36 female laborers each of whom received 3 ban per month";"from month harvest to month dumuzi year ibbisuen is king";"3.696720"
"85";"1(disz) ku6 1(disz) sa szum2 ur-{d}nanna";"1 fish 1 bundle onions  urnanna";"1 fish 1 bundle onions for ur@@ pa@@ gara from the frontier";"31.702331"
"86";"sze-bi 1(u) 9(asz) gur ziz2-bi 2(asz) gur";"its barley 19 gur  its emmer 2 gur";"its barley 19 gur its emmer 2 gur field latur";"75.983569"
"87";"a-sza3 {d}szul-pa-e3 apin-la2 lugal-nesag-e ($ blank space $) ur-{d}gilgamesx(|BIL3.GA.MES|)";"field of ulpae  the tiller lugalnesage  urgilgame";"the field amarkii the field center the field ro@@ yal waterway";"4.456883"
"88";"1(disz) masz2 giri3 ha-ge 1(u) 5(disz) udu sza3 uri5{ki}-...";"1 goat via age  15 sheep within ur";"1 billy goat fullgrown 5 billy goats from lubaba total 13";"4.456883"
"89";"mu-kux(DU) iti ses-da-gu7 mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul";"deliveries  month eating piglettes  year kima and hurti were destroyed";"delivery month pigletfeast year enunugal of inanna in uruk was installed";"4.456883"
"90";"szunigin 6(disz) gurusz 2(asz) 2(barig)-ta szunigin 1(disz) gurusz 2(asz) 2(barig)";"total 6 male workers 2 gur 2 barig each  total 1 male worker 2 gur 2 barig";"total 6 gur 2 barig 1 ban2 9 sila3 kak cheese the silver equivalent of their cheese 2 shekels";"10.307387"
"91";"a2-bi u4 1(gesz'u) 4(u)-kam 1(bur'u) 1(bur3) 1(esze3) GAN2 gesz-ur3-ra a-ra2 2(disz)-kam 4(disz) 1/2(iku) GAN2-ta";"its labor 64 workdays  11 bur3 1 ee3 field area harrowing twice at 4 12 iku field area each";"its labor 1 days labor of oxen drivers field work to be done";"4.630944"
"92";"4(disz) gu4 3(u) 2(disz) udu masz2 hi-a";"4 oxen 32 sheep goats various";"4 oxen 3 years old restored deficit of lugaldubla";"9.535414"
"93";"giri3 ... a2 lu2 hun-ga2 3(asz) sze-ba ...";"via  wages of the hired  workers 3 gur barley rations of";"via the field lamah from the field lamah year following the house of puzrishdagan was built";"3.218583"
"94";"zi-ga iti diri sze-sag11-ku5 mu {d}i-bi2-{d}suen lugal";"booked out  extra month harvest  year ibbisuen is king";"booked out month harvest";"12.944315"
"95";"ba-usz2 u4 1(u) 3(disz)-kam ki {d}szul-gi-a-a-mu-ta";"slaughtered 13th day  from ulgiayamu";"slaughtered for the dogs ilumbani received";"8.116698"
"96";"zi-ga sza3-bi-ta nigar{gar}-ki-du10 sipa gu4 niga";"booked outs and therefroms of nigarkidu herdsman of oxen grainfed";"booked out of the account of unir from gurzan under seal of the governor";"3.737438"
"97";"bala gub-ba 2(u) 4(disz) erin2 1(barig)-ta u4 2(u)-sze3";"in bala stationed 24 labortroops at 1 barig each for 2 days";"bala tax of namzitara govern@@ orn of kutha did beli@@ zu accept";"3.386499"
"98";"2(disz) gurusz ugula lu2-saga 1(u) 2(disz) gurusz ugula lu2-{d}da-ia3";"2 laborers foreman lusaga  12 laborers foreman ludaya";"2 foreman of sixty throne bearers 1 less 2 plowmen at 15 each";"3.673527"
"99";"la2-ia3 su-ga ki szu-{d}utu ugula geme2 gesz-i3 sur-sur-ra-ta";"from the restored deficit of uutu foreman of the female sesame oil pressers";"deficit repaid from urningal son of erinda";"3.667863"
"100";"lugal an-ub-da limmu2-ba szu-{d}x-... dub-sar";"king of the four corners scribe scribe";"king of the four corners puz@@ ur son of ka";"39.281465"
"101";"sza3 nibru{ki} iti ses-da-gu7 mu {d}szu-{d}suen lugal";"in nippur month pigletfeast year usuen is king";"in nippur month ubifeast year amarsuen is king";"27.054113"
"102";"3(szar2) 4(gesz'u) 2(u) sa gi si-i3-tum";"1322 bundles of reed  the remainder";"3 years he ruled bazi the weaver 3 years he ruled z@@ izi the weaver 2 years he ruled";"2.024446"
"103";"1(disz) nimgir-di-ne gudu4 lu2-tur-tur i3-dab5 1(disz) du-du-am3 u3 lu2-ba-x";"1 nimgirdine the priest  did luturtur accept  1 duduam and luba";"1 urenunna 2 nimgir@@ dine they are gudu@@ offici@@ ants of nane";"3.386499"
"104";"szu szum2-ma ki {d}en-lil2-zi-sza3-gal2-ta ba-zi iti ezem-{d}szu-{d}suen";"the delivered  from the account of enlilziagal booked out  month festival of usuen";"one received this per one day th@@ rough@@ out my country i removed compla@@ ints with my shining brow and happiness of heart";"1.958225"
"105";"4(u) 8(disz) gu4 ab2 hi-a 1(gesz'u) 2(gesz2) 5(u) 5(disz) udu masz2 hi-a";"48 oxen cows various 775 sheep goats various";"4 gur of barley in the royal measure with luinannaka the wages of day@@ laborers";"1.313981"
"106";"szunigin sze-bi 7(gesz2) 5(u) 2(asz) 1(barig) 3(ban2) gur";"total its barley 472 gur 1 barig 3 ban2";"total its barley 3 gur 1 barig 1 ban 6 12 sila";"22.033597"
"107";"iti {d}li9-si4 mu hu-uh2-nu-ri{ki} ba-hul lu2-kal-la";"month lisi  year unuri was destroyed  lukalla";"month lisi year the king of ur the house of ara was erected";"12.356221"
"108";"sa gu4 3(disz)-kam kiszib3 ku3-ga-ni la2-ia3 3(disz) kun gu4 sa gu4 2(disz)-kam";"tendons of 3 oxen sealed tablet of kugani  deficit 3 tails of oxen tendon of 2 oxen";"tendon of 3 oxen sealed tablet of kugani deficit 1 tendon of sucking bullcalf";"45.376227"
"109";"ku3-bi 1(disz) 1/2(disz) gin2 gurusz 1(u) 2(disz)-am3 a2 en-te-na";"ist silver 1 12 shekels  the male laborers are 12 labor of wintertime";"its silver 1 mana it was silver 2 grains of silver";"6.916142"
"110";"2(disz) udu niga {d}inanna unu{ki} giri3 lugal-i3-mah sagi";"2 barleyfed sheep for inanna of uruk  via lugalimah cupbearer";"2 sheep grainfed for ninlil 1 sheep grainfed for suen";"5.522398"
"111";"1(disz) ab2 amar ga 4(disz) gu4-gal";"1 heifer calf suckling  4 mature bulls";"1 heifer calf suckling 4 mature bulls";"100.000000"
"112";"ki tu-ra-a hu-um-s,u szu ba-ti";"from turaya  did humu  receive";"from off the terrace be demolished may life";"5.522398"
"113";"ARAD2-hu-la szunigin 2(ban2) 6(disz) sila3 kasz 2(ban2) 4(disz) sila3 ninda 1/2(disz) sila3 szum2";"for aradula  total 2 ban2 6 sila3 beer 2 ban2 4 sila3 bread 12 sila3 onions";"all@@ lo@@ cations distributed year ibbisuen is king";"1.015788"
"114";"1(disz) udu a-udu hur-sag niga 4(disz)-kam us2";"1 hybrid mouflon barleyfed of 4th grade";"1 fat 1 cream 1 suckling male goat";"5.522398"
"115";"sze-bi 1(gesz2) 5(u) 1(asz) 3(barig) gur";"its barley 111 gur 3 barig";"its barley 61 gur 1 barig field latur ure@@ ma the plowman";"8.054496"
"116";"1(disz) 1/2(disz) nin-da-nir-gal2 dumu-ni-me tug2 nin-da-mu-da-gal2";"and1 12 for nindanirgal  being her children  textile for nindamudagal";"1 ms adds ninsumun alas the destroyed city my destroyed house";"1.873888"
"117";"da-da-ga szu ba-ti mu ki-masz{ki} ba-hul";"dadaga  erhalten  jahr kima wurde zerstrt";"did nril receive year suen king of ur the house of ara in umma built";"1.313981"
"118";"iti ezem-an-na 1(disz) udu giri3 inim-{d}lu2-x ...";"month festival of an  1 sheep via inim";"month festival of an 1 sheep of the month day 15 elapsed";"41.722614"
"119";"8(gesz2) 4(u) 2(disz) udu 3(u) 2(disz) masz2";"522 sheep 32 buck goats";"8 male laborers foreman abbasaga 6 male laborers foreman lugalkuzu 3 male laborers foreman ekalla";"1.313981"
"120";"ugula sza3-nin-ga2 GAN2-gu4 3(bur3) 1(esze3) 1(iku) 1/2(iku) GAN2 1(u)-ta";"foreman aninga  plowdomain  total 3 bur3 1 ee3 1 12 iku surface area at 1 each";"foreman aninga year usuen king of ur urbilum destroyed";"4.380815"
"121";"szu ba-ti mu si-ma-num2{ki} ba-hul";"receive  year simanum was destroyed  year simanum was destroyed";"received month paue year simanum was destroyed";"30.895758"
"122";"szunigin 5(disz) kusz gu4 mu 2(asz) a-gar nu-gu7-a";"together 5 hides of twoyear oxen not tanned";"together 5 hides of twoyear oxen not tanned";"100.000000"
"123";"pisan-dub-ba nig2-ka9-ak KA la2-a";"basketoftablets   accounts  of the fatteners";"basketoftablets accounts of something of something of wisdom";"20.556681"
"124";"nig2-ka9-ak pa3-da iti min-esz3 mu {d}szu-{d}suen lugal";"account of pada month mine year usuen is king";"account of month of year after suen is king";"14.923729"
"125";"1(esze3) 3(iku) GAN2 su3 a-sza3 tur an-ka";"1 ee3 3 iku field fallow  the small field of anka";"1 ee3 3 iku field 3 gur 1 ee3 3 iku field fallow";"39.553325"
"126";"mar-sa-a gub-ba kiszib3 ur-{d}ba-ba6 1(gesz'u) 7(gesz2) 4(u) 6(asz) gur in-nu";"stationed at marsa  under seal of urbaba  166 gur straw";"mar-sa-a gur therefroms restitutions of the zu2-lum long@@ baskets for du@@ a@@ ku like a cow she stands the pot";"2.276860"
"127";"2(u) 7(disz) geme2 u4 3(disz)-sze3 bala-ta gur-ra";"27 female laborers in 3 days returned from the bala service";"2 ee3 surface area at 1 less 1 each its emmer 9 gur 2 barig";"1.313981"
"128";"5(asz) 1(barig) sze kasz gur 3(asz) 2(barig) 5(ban2) la2 1(disz) sila3 gur";"5 gur 1 barig barley for beer and 3 gur 2 barig 5 ban2 less 1 sila3";"5 gur 1 barig 3 ban2 4 sila3 barley wage for 5 sila3 each day its labor 442 56 days";"15.071676"
"129";"1(asz) 1(barig) x gur zi3 kiszib3 ur-{d}lugal-banda3";"1 gur n sila3 flour  under seal of urlugalbanda";"1 gur 1 barig 3 ban2 ba@@ luga wages of the hirelings at the field uub";"5.412989"
"130";"4(ban2) dabin 7(disz) sila3 ninda AB u4 1(disz)-kam";"4 ban2 barley flour 7 sila3 abbread on the 1st day";"4 ban2 barley flour 7 sila3 abbread on the 1st day 5 ban2 4 sila3 barley flour";"61.021692"
"131";"ugula lu2-gi-na 1(gesz'u) 3(u) 1(asz) 3(barig) sze gur";"foreman lugina  631 gur 3 barig barley";"foreman lugina 1 bur3 field ka@@ buru of du@@ urbartab 2 ee3 3 iku field area 1 barig each";"4.814972"
"132";"sza3 nibru{ki} iti ki-siki-{d}nin-a-zu mu us2-sa ma2 dara4-abzu {d}en-ki-ka ba-ab-du8";"in nippur  month wool center of ninazu  year following the barge daraabzu of enki was caulked";"in nippur month ubifeast year the priest in eridu was installed";"10.530523"
