"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"19";"u2 sze gesz-e3-a szabra-ne i3-gal2";"and barley threshed  of the chief house administrators  are here";"thres@@ hed barley of temple household managers and household managers month GAN@@ ma";"4.065425"
"20";"($ blank space $) geme2 u4 1(disz)-sze3 a-sza3 bad3 du3-a";"workdays at the field erected wall";"for his life he dedicated this to him Of this statue";"1.873888"
"21";"lugal an-ub-da limmu2-ba a2-ni-a2 dumu ur-mes";"king of the four corners  is your servant  is your servant";"king of the four corners Dad@@ u governor";"35.531011"
"22";"ki ab-ba-sa6-ga-ta zu-ba-ga i3-dab5";"from Abbasaga  Zubaga  accepted";"from Abbasaga Tah@@ i@@ atal accepted";"17.965206"
"23";"1(u) 8(asz) 1(barig) kiszib3 ur-{d}ba-ba6 7(asz) 3(ban2) kiszib3 ur-{d}ig-alim dumu da-da";"and 18 gur 1 barig under seal of UrBaba 7 gur 3 ban2 under seal of UrIgalim son of Dada";"18 gur 3 barig under seal of UrNane and 19 gur 4 barig";"15.706537"
"24";"5(asz) 2(barig) zi3 gur la2-ia3 nig2-ka9-ak la2-ia3";"5 gur 2 barig flour  deficit of the account";"5 gur 2 barig barley royal measure deficit repaid";"31.559845"
"25";"b. 5(disz) kusz3 dagal a. 1(u) 1(disz) kusz3 gid2";"5 cubits the width  11 cubits the length";"his beloved field he returned The place where Mes@@ ilim";"2.098057"
"26";"2(u) 9(asz) 4(barig) 1(ban2) zi3 gur";"29 gur 4 barig 1 ban2 flour";"2 gur 4 ban2 3 sila3 11 23 shekels barley";"9.287529"
"27";"pisan-dub-ba kiszib3 dab-ba da-da-mu";"Basketoftablets  sealed documents of dab  Dadamu";"Basketoftablets sealed documents of A@@ du foreman of weavers";"29.847459"
"28";"sze de6-a gur-gi mu sza-asz-ru-um ba-hul";"barley delivered  year arum was destroyed";"delivered the shepherd for whom Inanna her favorable omen";"4.767707"
"29";"sipa udu niga-ke4 a mu-na-ru";"the shepherd of the fattened sheep   dedicated this seal";"of ulgi the mighty man king of Ur";"5.795600"
"30";"sze bala-bi 4(barig) 1(gesz'u) 8(gesz2) 6(asz) 4(barig) 1(ban2) 8(disz) sila3 gur";"its bala barley 4 barig and 186 gur 4 barig 1 ban2 8 sila3";"barley involved 238 gur 1 barig 3 ban2 6 sila3 3 12 shekels of leeks at ki volume of the work involved 99 female laborer days";"2.260891"
"31";"ur-e2-masz dub-sar dumu ur-sila-luh";"UrEma  scribe  son of Ursilalu";"Lugal@@ inim received 14 sila3 butter oil";"3.283637"
"32";"1(disz) sila4 AN ...-x 1(disz) udu niga siskur2 {d}nanna";"1 lamb   1 sheep grainfed offering of Nanna";"1 lamb of the governor of Girsu 1 lamb";"11.339582"
"33";"a2-bi u4 1(gesz2) 1(disz) 1(gesz'u) 2(u) 8(disz) 1/3(disz) sar al 6(disz) 1/2(disz) sar-ta";"its labor 61 days  628 13 sar at 6 12 sar a day";"its labor 316 workdays 6 bur3 1 ee3 field area deep plowed at 34 iku field area each day harrowing twice at 4 12 iku field area each";"3.514848"
"34";"iri-sa12-rigx(|PA.MUNUS.HUB2.DU|){ki}-ta u4 2(disz)-sze3 kun-zi-da {gesz}kiri6 gesztin-sze3 ma2 diri-ga";"from Irisagrig  two workdays to reservoir of   Vineyard barge floated";"Se@@ ated in the mountain range of the mountain of uba stones Having adorned the dais of the mountain of uba stones My lord and king in the manner of her servant";"1.159971"
"35";"1(u) 7(asz) 2(ban2) gur kiszib3 ur-e2-ninnu";"17 gur 2 ban2 under seal of UrEninnu";"17 gur 2 ban2 under seal of Ur@@ Eninnu 2 ban2 Ur@@ Eninnu";"47.037096"
"36";"sze-bi 1(u) 4(asz) 1(barig) gur a-sza3 pu2-a2-uz";"its barley 14 gur 1 barig  field Puauz";"its barley 14 gur field Pu@@ au@@ z";"36.555522"
"37";"sza3 umma{ki} mu us2-sa e2 puzur4 ba-du3";"in Umma  year following The house of Puzri was built";"in the sacred residence in the sacred residence of Suen";"4.990050"
"38";"3(gesz2) gurusz u4 1(disz)-sze3 kiszib3-bi 2(disz)-am3";"18 workdays male laborers the sealed documents are 2";"3 workdays male laborers production of free days of the porters";"14.991107"
"39";"dingir-sukkal 5(disz) sila3 kasz 5(disz) sila3 ninda 2(disz) sa szum2";"for Dingirsukkal  5 sila3 beer 5 sila3 bread 2 bundles onions";"for Ding@@ ir@@ sukkal 3 sila3 beer 2 sila3 bread 2 bundles onions";"34.389312"
"40";"szunigin 1(bur3) 4(iku) 1/4(iku) GAN2 8(disz)-ta";"total 1 bur3 4 14 iku surface area at 8 each";"total 1 bur3 4 14 iku surface area at 8 12 each";"82.651682"
"41";"1(disz) udu 1(disz) sila4 1(disz) sila4 ga";"1 ram  1 male lamb  1 male suckling lamb";"1 sheep 1 lamb slaughtered the 21st day";"6.413885"
"42";"1(u) la2 1(disz) udu 3(disz) masz2";"1 less 1 rams  3 billy goats";"1 less 1 oxen grainfed fine quality";"24.446151"
"43";"2(disz) ad7 gu4 2(disz) kun gu4";"2 carcases of oxen  5 tails of oxen";"2 carcasses of oxen tendon of 2 oxen";"13.888095"
"44";"iti sze-sag11-ku5 mu {d}szu-{d}suen lugal 2(gesz2) 5(u) 5(disz)";"month Harvest  year uSuen is king  total 175";"month Harvest year uSuen king of Ur Big@@ stele for Enlil and Ninlil made";"18.798318"
"45";"szunigin 1(bur3) GAN2 1(u) la2 1/2(disz)-ta";"total 1 bur3 surface area at 1 less 12 each";"total 1 bur3 surface area at 1 less 1 each";"78.254229"
"46";"mu hu-uh2-nu-ri{ki} ba-hul 8(disz)";"year unuri was destroyed  total 8";"year unuri was destroyed";"60.653066"
"47";"inim-{d}szara2 engar dumu ur-{gesz}gigir 1(bur3) 1(esze3) GAN2 1(u) 1(disz)-ta";"Inimara the plowman son of Urgigir  1 bur3 1 ee3 surface area at 11 each";"Inimara the plowman 1 bur3 1 ee3 4 iku surface area at 1 each 1 bur3 1 ee3 4 12 iku surface area at 8 each with 1 un@@ am@@ banda";"14.211108"
"48";"kiszib3 lu2-gu-la sanga {d}dumu-zi ur-nig2-e";"under seal of Lugula  high priest of Dumuzi  by Urnig";"under the command of Enlil justice in the nation";"5.073552"
"49";"3(gesz'u) sze gur 4(u) gig gur";"18 gur barley  4 gur wheat";"3 kor barley 12 minas of wool 1 minas of copper";"3.747777"
"50";"a2-bi u4 4(szar2) 4(gesz'u) 8(gesz2) 3(u) 4(disz) 1/2(disz)";"labor involved 17314 12 workdays";"its labor 4 workdays 22 12 sar hoed at 3 12 sar per day its labor 63 workdays";"2.826521"
"51";"1(u) gin2 ku3-babbar ki {d}nin-gir2-su-i3-sa6-ta ur-{d}lamma";"1 shekels silver  from Ningirsuisa  did Urlamma";"1 shekels of eli its silver 6 grains";"12.223076"
"52";"lugal an-ub-da limmu2-ba ur-{d}... dub-sar";"king of the four corners Ur scribe";"king of the four corners Ur@@ kidu cook";"51.697315"
"53";"geme2 kikken2 {gesz}tukul-e-dab5-ba-me 2(asz) 1(barig) 3(ban2) gur";"for the female millers seized by the weapons 2 gur 1 barig 3 ban2";"female bar@@ ak@@ ara@@ workers 3 23 female laborers for 33 days its labor 12@@ 15 days";"3.009804"
"54";"nu-banda3 e-lu-da-an sza3 unu{ki} giri3 lugal-am-gal";"supervisor Eludan  in Uruk  via Lugalamgal";"Se@@ ated in the mountain range of the mountain of uba stones Having adorned the dais of the mountain of uba stones My lord and king in the manner of her servant";"1.159971"
"55";"8(disz) udu ... 1(disz) udu ...";"8 sheep   1 sheep";"8 sheep grainfed 8th day from Abbasaga";"13.134549"
"56";"{d}nansze-kam lu2 lunga u3 si-i3-tum lu2 didli";"Nanekam brewer  and the deficit documents of various men";"the fisheries workers to seize gone month Barley carried";"4.767707"
"57";"pisan-dub-ba nig2-ka9-ak sze gu4 engar";"Basketoftablets  accounts  barley oxen plowman";"Basketoftablets accounts of the house of the chair@@ holder";"9.535414"
"58";"5(disz) gu4 niga 1(disz) gu4 gun3-a niga";"5 oxen grainfed  1 ox speckled grainfed";"5 oxen grainfed 1 ox spec@@ kled grainfed 16 oxen";"41.113362"
"59";"szunigin sze-bi 5(u) 1(asz) 4(barig) 2(ban2) gur";"total its grain 51 gur 4 barig 2 ban2";"total its barley 3 gur 1 barig 1 ban 6 12 sila";"8.054496"
"60";"mu-dab5 igi-ni in-gar mu lugal u4 a-ra2 2(disz)-ka";"he was captured  and presented  By the royal name When a 2nd time";"Pu@@ annum 84 years he ruled Gal@@ ib@@ um 96 years he ruled";"3.089055"
"61";"a-sza3 du6-gesz-i3-ka {d}szara2-zi-da engar 1(bur3) GAN2 1(u)-ta";"field HillockofUrbartab  arazida the plowman  1 bur3 surface area at 1 each";"field Zan@@ r e@@ ani the plowman 3 bur3 1 ee3 14 iku surface area at 1 each";"25.281169"
"62";"u3-tu-da giri3 bu3-lu5-lu5 mu-kux(DU)";"newborns  via Bululu  delivery";"Responsible Nig@@ lag@@ are Partial sum 497 48 workdays male laborers";"1.873888"
"63";"b. n 3(disz) us2 x 4(disz) gurusz-bi x";"n  3 ninda the side   4 its workmen";"And if Nanna does not help you in this matter go to Eridu And if Nanna does not help you in this matter go to Eridu";"0.722290"
"64";"sag-nig2-gur11-ra-kam sza3-bi-ta 6(gesz2) gurusz u4 1(disz)-sze3";"are the debit  therefrom  36 male laborer workdays";"are the debit There@@ from 1 talent 5 mana copper";"15.619700"
"65";"1(disz) udu a-lum gesz-du3 1(u) la2 1(disz) udu a-lum";"1 alumsheep breeder  9 alumsheep";"1 sheep House@@ of@@ Uruk 1 sheep cabin of the barge of Ningezida";"3.089055"
"66";"sahar ($ blank space $) 1(u) 4(disz) ninda 1/3(disz) sar-ta";"its soil   14 ninda long at 13 sar per ninda";"its soil 1 sar 1 ninda long at 1 sar per ninda";"24.088563"
"67";"{u2}har-an ga6-ga2 kiszib3 na-ba-sa6 1(gesz2) 5(u) 5(disz) geme2 u4 1(disz)-sze3";"harangrass carried  under seal of Nabasa  115 workdays";"The boat of joy the i@@ be@@ x of the Abzu abandoned the water its reed cabin was brought near to the river@@ bank";"1.573293"
"68";"5(u) 5(disz) masz2-gal u4 2(u)-kam ki ab-ba-sa6-ga-ta";"55 billy goats full grown  2th day  from Abbasaga";"5 adult billy goats 1 billy goat ir@@ am the captain";"7.495553"
"69";"5(disz) gurusz ugula i3-kal-la 1(u) ugula tab-sza-la";"5 male laborers  foreman Ikalla  1 foreman Tabala";"5 male laborers overseer Lugal@@ mu@@ ma@@ g 1 Namani 1 Luara";"13.545994"
"70";"iti masz-ku3-gu7 1(u) 5(disz) udu 4(disz) masz2 1(u) 4(disz) gin2-ta";"month GazelleFeast  15 rams 4 billy goats 14 shekels each";"month Grain lifted";"3.684138"
"71";"sze-bi 4(u) 4(asz) 1(barig) gur a-sza3 zalag-ga-a-gesztin";"its barley 44 gur 1 barig  field Zalagaagetin";"its barley 4 gur less 1 barig under Nig@@ ar@@ mud 2 less 2 wo@@ ol@@ sheep its barley 4 gur less 1 barig under En@@ DU";"4.150548"
"72";"bala im-ma su-ga-ta gi-zi ze2-de3 usz-mu";"From the balaobligation of the last year that was repaid  to cut fresh reeds  Uu";"its bala cum@@ ins 7";"0.722838"
"73";"szunigin 1/2(iku) GAN2 1(u)-ta szunigin 2(bur3) 1(iku) 1/4(iku) GAN2 1(u) la2 1/2(disz)-ta";"total 2 bur3 1 12 iku surface area at 1 each  total 2 bur3 1 14 iku surface area at 1 less 12 each";"total 12 bur3 12 iku surface area at 12 each total 47 bur3 2 ee3 12 iku surface area at 11 each total 5 bur3 2 ee3 1 14 iku surface area at 1 12 each";"31.028453"
"74";"zu-ba-ga i3-dab5 iti u5-bi2-gu7";"Zubaga  accepted  month Ubifeast";"S@@ cep@@ ter The house";"5.341088"
"75";"1(disz) az ($ blank space $) 4(disz)";"1 bear total 4";"1 bear cub from UrSuen the kings son delivery";"9.535414"
"76";"sze-bi 6(asz) gur iti ezem-{d}szul-gi 2(gesz2) 3(u) udu niga 1(disz) 1/2(disz) sila3-ta";"its barley 6 gur  month ulgi  15 sheep grainfed at 1 12 sila3 each";"its barley 6 gur month First fruits 15 sheep grainfed at 1 12 sila3 each";"72.415773"
"77";"nu-ur2-i3-li2 5(disz) sila3 kasz 3(disz) sila3 ninda 3(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga";"for Nril  5 sila3 beer 3 sila3 bread 3 shekels onions 3 shekels oil 2 shekels alkaliplant";"for N@@ id@@ aga donated by UrLamma son of Al@@ lu donated by Lu@@ Enlila 3 mana wool for Nig@@ la@@ bani";"2.054027"
"78";"1(u) 3(disz) geme2 u4 1(disz)-sze3 a i7-de3 usz2-a";"13 female laborer workdays  water to the river";"1 gur 3 barig of barley its workmen five days for harvesting barley";"1.544528"
"79";"iti masz-da3-gu7 mu us2-sa ur-bi-lum{ki} ba-hul";"month Gazellefeast  year after Urbilum was destroyed";"month Gazelle eating year after uSuen the king of Ur the Amorite wall m@@ uri@@ q@@ tid@@ nim erected";"4.480836"
"80";"kin-bi 2(u) 6(disz) 2/3(disz) sar e e2-lugal-sze3";"its work 26 23 volumesar  to the ditch of royal household";"its work 26 23 volumesar 5 ninda length at 1 volumesar per ninda";"28.917849"
"81";"kas4 szusz3 gur8-za-an x-dar";"Kas the cattle administrator  Gurzan  dar";"der So@@ hn des Lu@@ gala des Rein@@ ig@@ ung@@ s@@ Pri@@ esters 1 Lugal@@ KA der So@@ hn des Mann@@ l";"0.863612"
"82";"iti 1(u) 2(disz)-kam mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} ba-hul";"a period of 12 months  year AmarSuen the king Urbilum destroyed";"month Harvest year after Kima was destroyed in month Br@@ icks to be returned";"3.377156"
"83";"sze ab-ba muhaldim ensi2-ka e2-gibil ab-ba muhaldim-ta";"Gerste des Abba des Koches des Stadtfrsten  aus dem NeuHaus des Abba des Koches";"barley involved 238 gur 1 barig 3 ban2";"1.304298"
"84";"ki ur-{d}ur3-bar-tab-ta 3(u) 6(disz) geme2 3(ban2)";"from UrUrtab  36 female laborers each of whom received 3 ban per month";"from Ur@@ ab@@ as@@ aga via ekalla under seal of Akalla";"3.715939"
"85";"1(disz) ku6 1(disz) sa szum2 ur-{d}nanna";"1 fish 1 bundle onions  UrNanna";"1 fish 1 bunch of onions Dug@@ amu the";"19.070828"
"86";"sze-bi 1(u) 9(asz) gur ziz2-bi 2(asz) gur";"its barley 19 gur  its emmer 2 gur";"its barley 19 gur its emmer 2 gur field Lat@@ ur";"67.865027"
"87";"a-sza3 {d}szul-pa-e3 apin-la2 lugal-nesag-e ($ blank space $) ur-{d}gilgamesx(|BIL3.GA.MES|)";"field of ulpae  the tiller Lugalnesage  UrGilgame";"field Po@@ pl@@ ar@@ planted Lugal@@ gu@@ ene the plowman 23 gur 2 barig 5 ban2";"2.908318"
"88";"1(disz) masz2 giri3 ha-ge 1(u) 5(disz) udu sza3 uri5{ki}-...";"1 goat via age  15 sheep within Ur";"1 billy goat via the high@@ priest of Inanna 12th priest";"8.295194"
"89";"mu-kux(DU) iti ses-da-gu7 mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul";"deliveries  Month eating piglettes  year Kima and Hurti were destroyed";"delivery month Pig@@ let@@ feast year Hari and Kima and ur@@ ti were destroyed";"8.493099"
"90";"szunigin 6(disz) gurusz 2(asz) 2(barig)-ta szunigin 1(disz) gurusz 2(asz) 2(barig)";"Total 6 male workers 2 gur 2 barig each  Total 1 male worker 2 gur 2 barig";"total 6 2 male laborers total 6 shekels each total 6 shekels time total 1 12 time";"3.419798"
"91";"a2-bi u4 1(gesz'u) 4(u)-kam 1(bur'u) 1(bur3) 1(esze3) GAN2 gesz-ur3-ra a-ra2 2(disz)-kam 4(disz) 1/2(iku) GAN2-ta";"its labor 64 workdays  11 bur3 1 ee3 field area harrowing twice at 4 12 iku field area each";"its labor 316 workdays 6 bur3 1 ee3 field area deep plowed at 34 iku field area each day harrowing twice at 4 12 iku field area each";"43.552368"
"92";"4(disz) gu4 3(u) 2(disz) udu masz2 hi-a";"4 oxen 32 sheep goats various";"4 oxen 3 years old restored deficit of Lugal@@ dub@@ la";"7.495553"
"93";"giri3 ... a2 lu2 hun-ga2 3(asz) sze-ba ...";"via  wages of the hired  workers 3 gur barley rations of";"via the runners under seal of UrLamma son of LuBaba";"5.369489"
"94";"zi-ga iti diri sze-sag11-ku5 mu {d}i-bi2-{d}suen lugal";"booked out  extra month Harvest  year IbbiSuen is king";"booked out month Harvest year after AmarSuen is king";"26.084743"
"95";"ba-usz2 u4 1(u) 3(disz)-kam ki {d}szul-gi-a-a-mu-ta";"slaughtered 13th day  from ulgiayamu";"slaughtered the 17th day from Nalu";"17.965206"
"96";"zi-ga sza3-bi-ta nigar{gar}-ki-du10 sipa gu4 niga";"booked outs and therefroms of Nigarkidu herdsman of oxen grainfed";"booked out debit 1 mana 1 16 shekel 12 grains of silver account of e@@ kala the trade agent";"2.664321"
"97";"bala gub-ba 2(u) 4(disz) erin2 1(barig)-ta u4 2(u)-sze3";"in bala stationed 24 labortroops at 1 barig each for 2 days";"the bala barley involved 3 barig 1 ban the barley involved 276 gur 2 barig 2 ban 3 12 sila 6 shekels";"2.442663"
"98";"2(disz) gurusz ugula lu2-saga 1(u) 2(disz) gurusz ugula lu2-{d}da-ia3";"2 laborers foreman Lusaga  12 laborers foreman LuDaya";"2 laborers foreman Lu@@ saga 12 laborers foreman Lu@@ D@@ aya 11 laborers foreman Lugal@@ magure";"15.310245"
"99";"la2-ia3 su-ga ki szu-{d}utu ugula geme2 gesz-i3 sur-sur-ra-ta";"from the restored deficit of uUtu foreman of the female sesame oil pressers";"deficit of the account of ARAD@@ dingir@@ a Atu son of Lugal@@ saga";"8.737168"
"100";"lugal an-ub-da limmu2-ba szu-{d}x-... dub-sar";"king of the four corners scribe scribe";"king of the four corners u@@ Erra scribe";"54.108227"
"101";"sza3 nibru{ki} iti ses-da-gu7 mu {d}szu-{d}suen lugal";"in Nippur month Pigletfeast year uSuen is king";"in Nippur very large food offerings he serves to him";"8.392230"
"102";"3(szar2) 4(gesz'u) 2(u) sa gi si-i3-tum";"1322 bundles of reed  the remainder";"3 bur3 field area 3 sil@@ os 1978 gur";"2.383854"
"103";"1(disz) nimgir-di-ne gudu4 lu2-tur-tur i3-dab5 1(disz) du-du-am3 u3 lu2-ba-x";"1 Nimgirdine the priest  did Luturtur accept  1 Duduam and Luba";"1 S@@ uda 1 barig Lugal@@ gig@@ ire he will pay 1 barig 2 ban2 5 sila3 butter oil";"2.407486"
"104";"szu szum2-ma ki {d}en-lil2-zi-sza3-gal2-ta ba-zi iti ezem-{d}szu-{d}suen";"the delivered  from the account of Enlilziagal booked out  month Festival of uSuen";"was given to him 2 2";"1.263783"
"105";"4(u) 8(disz) gu4 ab2 hi-a 1(gesz'u) 2(gesz2) 5(u) 5(disz) udu masz2 hi-a";"48 oxen cows various 775 sheep goats various";"4 open@@ hands squared 1 23 shekels 5 open@@ hands squared";"1.873888"
"106";"szunigin sze-bi 7(gesz2) 5(u) 2(asz) 1(barig) 3(ban2) gur";"total its barley 472 gur 1 barig 3 ban2";"total 87 gar@@ mets deficit in the street located";"4.767707"
"107";"iti {d}li9-si4 mu hu-uh2-nu-ri{ki} ba-hul lu2-kal-la";"month Lisi  year unuri was destroyed  Lukalla";"month the shrine placed to the side month the horned ox marches forth month the brick";"2.445594"
"108";"sa gu4 3(disz)-kam kiszib3 ku3-ga-ni la2-ia3 3(disz) kun gu4 sa gu4 2(disz)-kam";"tendons of 3 oxen sealed tablet of Kugani  deficit 3 tails of oxen tendon of 2 oxen";"tendon of 3 oxen sealed tablet of Kug@@ ani deficit 1 tendon of sucking bull@@ calf";"32.785340"
"109";"ku3-bi 1(disz) 1/2(disz) gin2 gurusz 1(u) 2(disz)-am3 a2 en-te-na";"ist silver 1 12 shekels  The male laborers are 12 labor of wintertime";"its silver 1 12 mana 7 shekels 9 12 grains of silver";"13.792484"
"110";"2(disz) udu niga {d}inanna unu{ki} giri3 lugal-i3-mah sagi";"2 barleyfed sheep for Inanna of Uruk  via Lugalimah cupbearer";"2 sheep barleyfed for Inanna 1 sheep barleyfed for Ninursag";"10.552670"
"111";"1(disz) ab2 amar ga 4(disz) gu4-gal";"1 heifer calf suckling  4 mature bulls";"1 heifer calf suckling 5 male lambs suckling";"34.572078"
"112";"ki tu-ra-a hu-um-s,u szu ba-ti";"from Turaya  did Humu  receive";"from the quay of Larsa Enlil king of all the lands";"3.747777"
"113";"ARAD2-hu-la szunigin 2(ban2) 6(disz) sila3 kasz 2(ban2) 4(disz) sila3 ninda 1/2(disz) sila3 szum2";"for ARADula  total 2 ban2 6 sila3 beer 2 ban2 4 sila3 bread 12 sila3 onions";"Ap@@ il@@ k@@ n the mighty govern@@ or@@ general";"1.095204"
"114";"1(disz) udu a-udu hur-sag niga 4(disz)-kam us2";"1 hybrid mouflon barleyfed of 4th grade";"1 sheep of the month day 22 elapsed";"6.567275"
"115";"sze-bi 1(gesz2) 5(u) 1(asz) 3(barig) gur";"its barley 111 gur 3 barig";"its barley 95 gur 1 barig";"19.304870"
"116";"1(disz) 1/2(disz) nin-da-nir-gal2 dumu-ni-me tug2 nin-da-mu-da-gal2";"and1 12 for Nindanirgal  being her children  textile for Nindamudagal";"and 1 12 for Zam@@ u@@ ban@@ ius and 1 12 for Nin@@ sa@@ du";"5.816635"
"117";"da-da-ga szu ba-ti mu ki-masz{ki} ba-hul";"Dadaga  erhalten  Jahr Kima wurde zerstrt";"Dad@@ u son of Zam@@ u";"4.058349"
"118";"iti ezem-an-na 1(disz) udu giri3 inim-{d}lu2-x ...";"month Festival of An  1 sheep via Inim";"month Festival of An year The house of ara was erected";"23.462350"
"119";"8(gesz2) 4(u) 2(disz) udu 3(u) 2(disz) masz2";"522 sheep 32 buck goats";"8 bur3 4 34 iku 25 ninda the head erin2 1 sar in the assembly";"1.313981"
"120";"ugula sza3-nin-ga2 GAN2-gu4 3(bur3) 1(esze3) 1(iku) 1/2(iku) GAN2 1(u)-ta";"foreman aninga  plowdomain  total 3 bur3 1 ee3 1 12 iku surface area at 1 each";"foreman Ur@@ amma under seal of Lugal@@ nir month Festival of ulgi";"2.426532"
"121";"szu ba-ti mu si-ma-num2{ki} ba-hul";"receive  year Simanum was destroyed  year Simanum was destroyed";"received year Simanum was destroyed";"30.048439"
"122";"szunigin 5(disz) kusz gu4 mu 2(asz) a-gar nu-gu7-a";"together 5 hides of twoyear oxen not tanned";"together 5 hides of oxen not tanned";"51.544868"
"123";"pisan-dub-ba nig2-ka9-ak KA la2-a";"Basketoftablets   Accounts  of the fatteners";"Basketoftablets accounts of the house of the chair@@ holder";"10.552670"
"124";"nig2-ka9-ak pa3-da iti min-esz3 mu {d}szu-{d}suen lugal";"Account of Pada Month mine year uSuen is king";"account of Er@@ re@@ b under seal of Ur@@ tur 166 gur straw";"3.089055"
"125";"1(esze3) 3(iku) GAN2 su3 a-sza3 tur an-ka";"1 ee3 3 iku field fallow  the small field of Anka";"1 ee3 3 iku field 1 gur Ur@@ s@@ asa";"35.543339"
"126";"mar-sa-a gub-ba kiszib3 ur-{d}ba-ba6 1(gesz'u) 7(gesz2) 4(u) 6(asz) gur in-nu";"stationed at marsa  under seal of UrBaba  166 gur straw";"mar-sa-a up up to the account of Ur@@ sukkal total 19 shekels workdays from the depot E@@ duru@@ Ama@@ u@@ um@@ galana";"1.727224"
"127";"2(u) 7(disz) geme2 u4 3(disz)-sze3 bala-ta gur-ra";"27 female laborers in 3 days returned from the bala service";"27 female laborers in 7 days went to the bala service";"35.084397"
