"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"30";"sze bala-bi 4(barig) 1(gesz'u) 8(gesz2) 6(asz) 4(barig) 1(ban2) 8(disz) sila3 gur";"its bala barley 4 barig and 186 gur 4 barig 1 ban2 8 sila3";"the barley 31 gur 4 barig 1 ban2 2 sila3 they are hired men Pise wall 1 12 ninda the length 1 12 cubits the width 4 cubits the depth";"13.071188"
"31";"ur-e2-masz dub-sar dumu ur-sila-luh";"UrEma  scribe  son of Ursilalu";"from the field Babatursu via LugalNigine UrSuana";"3.283637"
"32";"1(disz) sila4 AN ...-x 1(disz) udu niga siskur2 {d}nanna";"1 lamb   1 sheep grainfed offering of Nanna";"1 lamb for the god Utu delivery the governor of uruppak";"8.295194"
"33";"a2-bi u4 1(gesz2) 1(disz) 1(gesz'u) 2(u) 8(disz) 1/3(disz) sar al 6(disz) 1/2(disz) sar-ta";"its labor 61 days  628 13 sar at 6 12 sar a day";"its labor 1 days 9 sar hoed at 1 sar per day from Abbasaga";"7.768563"
"34";"iri-sa12-rigx(|PA.MUNUS.HUB2.DU|){ki}-ta u4 2(disz)-sze3 kun-zi-da {gesz}kiri6 gesztin-sze3 ma2 diri-ga";"from Irisagrig  two workdays to reservoir of   Vineyard barge floated";"iri-sa12-rigx workdays male laborers from the mouth of the waterway oarblades of barge removed";"4.016138"
"35";"1(u) 7(asz) 2(ban2) gur kiszib3 ur-e2-ninnu";"17 gur 2 ban2 under seal of UrEninnu";"17 gur 2 ban2 under seal of UrEninnu 2 ban2 UrEninnu";"67.865027"
"36";"sze-bi 1(u) 4(asz) 1(barig) gur a-sza3 pu2-a2-uz";"its barley 14 gur 1 barig  field Puauz";"its barley 14 gur 1 barig field Puauz";"100.000000"
"37";"sza3 umma{ki} mu us2-sa e2 puzur4 ba-du3";"in Umma  year following The house of Puzri was built";"in Umma like a destructive storm of rain he left behind a deluge";"6.837203"
"38";"3(gesz2) gurusz u4 1(disz)-sze3 kiszib3-bi 2(disz)-am3";"18 workdays male laborers the sealed documents are 2";"3 workdays male laborers production of free days of the porters";"14.991107"
"39";"dingir-sukkal 5(disz) sila3 kasz 5(disz) sila3 ninda 2(disz) sa szum2";"for Dingirsukkal  5 sila3 beer 5 sila3 bread 2 bundles onions";"for Dingirsukkal 3 sila3 beer 2 sila3 bread 2 bundles onions";"44.973321"
"40";"szunigin 1(bur3) 4(iku) 1/4(iku) GAN2 8(disz)-ta";"total 1 bur3 4 14 iku surface area at 8 each";"total 1 bur3 4 14 iku surface area at 8 12 each";"82.651682"
"41";"1(disz) udu 1(disz) sila4 1(disz) sila4 ga";"1 ram  1 male lamb  1 male suckling lamb";"1 sheep 1 lamb slaughtered the 21st day";"6.413885"
"42";"1(u) la2 1(disz) udu 3(disz) masz2";"1 less 1 rams  3 billy goats";"1 talent for the cantors 1 talent peaflour for the officerofsixty 1 12 talents peaflour for KUge of the offering table";"2.159701"
"43";"2(disz) ad7 gu4 2(disz) kun gu4";"2 carcases of oxen  5 tails of oxen";"2 carcasses of oxen tendon of 2 oxen 2 tails of oxen";"16.590387"
"44";"iti sze-sag11-ku5 mu {d}szu-{d}suen lugal 2(gesz2) 5(u) 5(disz)";"month Harvest  year uSuen is king  total 175";"month Harvest year The ShuSuen king of Ur the boat named IbexofAbzu caulked";"12.356221"
"45";"szunigin 1(bur3) GAN2 1(u) la2 1/2(disz)-ta";"total 1 bur3 surface area at 1 less 12 each";"total 1 bur3 surface area at 1 less 1 each";"78.254229"
"46";"mu hu-uh2-nu-ri{ki} ba-hul 8(disz)";"year unuri was destroyed  total 8";"year unuri was destroyed total 8";"100.000000"
"47";"inim-{d}szara2 engar dumu ur-{gesz}gigir 1(bur3) 1(esze3) GAN2 1(u) 1(disz)-ta";"Inimara the plowman son of Urgigir  1 bur3 1 ee3 surface area at 11 each";"animal ration placed in the street street street chamber at the womens quarters of the land";"3.218583"
"48";"kiszib3 lu2-gu-la sanga {d}dumu-zi ur-nig2-e";"under seal of Lugula  high priest of Dumuzi  by Urnig";"under seal of the governor the deficit 2 mana 13 shekels silver account of silver of the governor";"8.590765"
"49";"3(gesz'u) sze gur 4(u) gig gur";"18 gur barley  4 gur wheat";"3 bur3 1 ee3 3 iku field at 11 12 each";"1.873888"
"50";"a2-bi u4 4(szar2) 4(gesz'u) 8(gesz2) 3(u) 4(disz) 1/2(disz)";"labor involved 17314 12 workdays";"its labor 4 workdays 22 12 sar hoed at 3 12 sar per day its labor 63 workdays";"2.826521"
"51";"1(u) gin2 ku3-babbar ki {d}nin-gir2-su-i3-sa6-ta ur-{d}lamma";"1 shekels silver  from Ningirsuisa  did Urlamma";"1 shekels silver labor of Urdukuga in one year";"17.747405"
"52";"lugal an-ub-da limmu2-ba ur-{d}... dub-sar";"king of the four corners Ur scribe";"king of the four corners scribe scribe";"64.345888"
"53";"geme2 kikken2 {gesz}tukul-e-dab5-ba-me 2(asz) 1(barig) 3(ban2) gur";"for the female millers seized by the weapons 2 gur 1 barig 3 ban2";"female laborers who lifted barley sealed tablets involved 3 under seal of ARAD";"3.401543"
"54";"nu-banda3 e-lu-da-an sza3 unu{ki} giri3 lugal-am-gal";"supervisor Eludan  in Uruk  via Lugalamgal";"the overseer Aua in bala stationed 12 labortroops at 1 barig each for 2 days";"2.627962"
"55";"8(disz) udu ... 1(disz) udu ...";"8 sheep   1 sheep";"8 sheep 9th tablet 1 donkey old";"14.535768"
"56";"{d}nansze-kam lu2 lunga u3 si-i3-tum lu2 didli";"Nanekam brewer  and the deficit documents of various men";"The priests of the holy uzga shrine and the sacred lustrations the linenclad priests forsook the divine plans and sacred divine powers they went off to a foreign city In his grief Suen approached his father";"2.269431"
"57";"pisan-dub-ba nig2-ka9-ak sze gu4 engar";"Basketoftablets  accounts  barley oxen plowman";"Basketoftablets accounts barley of distribution plowmen young oxen turners of";"16.784460"
"58";"5(disz) gu4 niga 1(disz) gu4 gun3-a niga";"5 oxen grainfed  1 ox speckled grainfed";"5 oxen grainfed 1 ox speckled grainfed 16 oxen";"72.597953"
"59";"szunigin sze-bi 5(u) 1(asz) 4(barig) 2(ban2) gur";"total its grain 51 gur 4 barig 2 ban2";"total barley involved 255 gur 3 barig 2 ban2 36 female laborers at 3 ban2 per month from month Firstoffering month 4";"7.645949"
"60";"mu-dab5 igi-ni in-gar mu lugal u4 a-ra2 2(disz)-ka";"he was captured  and presented  By the royal name When a 2nd time";"like whom is he fashioned who left with him who would equal him";"3.089055"
"61";"a-sza3 du6-gesz-i3-ka {d}szara2-zi-da engar 1(bur3) GAN2 1(u)-ta";"field HillockofUrbartab  arazida the plowman  1 bur3 surface area at 1 each";"field Hillockofplantoil 1 bur3 surface area at 1 each its barley 4 gur";"48.633832"
"62";"u3-tu-da giri3 bu3-lu5-lu5 mu-kux(DU)";"newborns  via Bululu  delivery";"newborns via Kas booked to the sky";"13.134549"
"63";"b. n 3(disz) us2 x 4(disz) gurusz-bi x";"n  3 ninda the side   4 its workmen";"And therefore its shade stretches over the lands And therefore its sacred space opens up towards the midst of heaven The lords and rulers";"1.870972"
"64";"sag-nig2-gur11-ra-kam sza3-bi-ta 6(gesz2) gurusz u4 1(disz)-sze3";"are the debit  therefrom  36 male laborer workdays";"are the debit Therefrom 6 workdays male laborers labor of Addatillati";"15.851166"
"65";"1(disz) udu a-lum gesz-du3 1(u) la2 1(disz) udu a-lum";"1 alumsheep breeder  9 alumsheep";"1 sheep alum grainfed slaughtered among the old";"5.522398"
"66";"sahar ($ blank space $) 1(u) 4(disz) ninda 1/3(disz) sar-ta";"its soil   14 ninda long at 13 sar per ninda";"good reed fodder for the fattening sheep the regular offerings of ara torn out in the field of NaramSin to the sheep fold in Apisal carried";"0.722290"
"67";"{u2}har-an ga6-ga2 kiszib3 na-ba-sa6 1(gesz2) 5(u) 5(disz) geme2 u4 1(disz)-sze3";"harangrass carried  under seal of Nabasa  115 workdays";"Like flowing water do not diminish your recumbency Do not bring moonlight into the house when you lie down";"1.012223"
"68";"5(u) 5(disz) masz2-gal u4 2(u)-kam ki ab-ba-sa6-ga-ta";"55 billy goats full grown  2th day  from Abbasaga";"15 buck goats total 3 slaughtered for the dogs";"4.767707"
"69";"5(disz) gurusz ugula i3-kal-la 1(u) ugula tab-sza-la";"5 male laborers  foreman Ikalla  1 foreman Tabala";"5 male laborers for 2 days from Umma to royal waterway barge punted barge floated";"9.782376"
"70";"iti masz-ku3-gu7 1(u) 5(disz) udu 4(disz) masz2 1(u) 4(disz) gin2-ta";"month GazelleFeast  15 rams 4 billy goats 14 shekels each";"month Gazelle feast year Enunugal of Inanna was installed AS 4 and and was installed";"3.125191"
"71";"sze-bi 4(u) 4(asz) 1(barig) gur a-sza3 zalag-ga-a-gesztin";"its barley 44 gur 1 barig  field Zalagaagetin";"its barley 24 gur 3 barig field Hillockofplantoil";"16.515822"
"72";"bala im-ma su-ga-ta gi-zi ze2-de3 usz-mu";"From the balaobligation of the last year that was repaid  to cut fresh reeds  Uu";"the bala barley involved 3 barig 1 ban the barley involved 276 gur 2 barig 2 ban 3 12 sila 6 shekels";"2.054027"
"73";"szunigin 1/2(iku) GAN2 1(u)-ta szunigin 2(bur3) 1(iku) 1/4(iku) GAN2 1(u) la2 1/2(disz)-ta";"total 2 bur3 1 12 iku surface area at 1 each  total 2 bur3 1 14 iku surface area at 1 less 12 each";"total 12 bur3 12 iku surface area at 12 each total 47 bur3 2 ee3 12 iku surface area at 11 each total 5 bur3 2 ee3 1 14 iku surface area at 1 12 each";"31.028453"
"74";"zu-ba-ga i3-dab5 iti u5-bi2-gu7";"Zubaga  accepted  month Ubifeast";"his servant he gifted this seal";"4.058349"
"75";"1(disz) az ($ blank space $) 4(disz)";"1 bear total 4";"1 bear cub from UrSuen the kings son delivery";"9.535414"
"76";"sze-bi 6(asz) gur iti ezem-{d}szul-gi 2(gesz2) 3(u) udu niga 1(disz) 1/2(disz) sila3-ta";"its barley 6 gur  month ulgi  15 sheep grainfed at 1 12 sila3 each";"its barley 6 gur month Festival of ulgi from the month Harvest to month Dumuzi";"25.748661"
"77";"nu-ur2-i3-li2 5(disz) sila3 kasz 3(disz) sila3 ninda 3(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga";"for Nril  5 sila3 beer 3 sila3 bread 3 shekels onions 3 shekels oil 2 shekels alkaliplant";"for Nril 5 sila3 beer 3 sila3 bread 5 shekels onions 3 shekels oil 2 shekels alkaliplant";"82.824775"
"78";"1(u) 3(disz) geme2 u4 1(disz)-sze3 a i7-de3 usz2-a";"13 female laborer workdays  water to the river";"13 female laborer days from month Festival of ulgi to month Extra";"13.545994"
"79";"iti masz-da3-gu7 mu us2-sa ur-bi-lum{ki} ba-hul";"month Gazellefeast  year after Urbilum was destroyed";"month Gazelle feast year after The throne of Enlil was fashioned";"8.913766"
"80";"kin-bi 2(u) 6(disz) 2/3(disz) sar e e2-lugal-sze3";"its work 26 23 volumesar  to the ditch of royal household";"its work 2 56 volumesar 2 12 ninda length at 1 volumeshekels per ninda";"6.285596"
"81";"kas4 szusz3 gur8-za-an x-dar";"Kas the cattle administrator  Gurzan  dar";"weaver sor@@ cer@@ er an incantation formu@@ la";"2.761199"
"82";"iti 1(u) 2(disz)-kam mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} ba-hul";"a period of 12 months  year AmarSuen the king Urbilum destroyed";"months in Nippur months in Nippur months in Nippur";"3.817681"
"83";"sze ab-ba muhaldim ensi2-ka e2-gibil ab-ba muhaldim-ta";"Gerste des Abba des Koches des Stadtfrsten  aus dem NeuHaus des Abba des Koches";"barley of GANgufields from Aabba@@ s account to be booked out";"1.426592"
"84";"ki ur-{d}ur3-bar-tab-ta 3(u) 6(disz) geme2 3(ban2)";"from UrUrtab  36 female laborers each of whom received 3 ban per month";"from the account of Enlila dedu@@ cted month Festival of An year AmarSuen the king did Urbilum destroy";"2.826521"
"85";"1(disz) ku6 1(disz) sa szum2 ur-{d}nanna";"1 fish 1 bundle onions  UrNanna";"1 fish 1 bunch of onions Dugamu the";"22.089591"
"86";"sze-bi 1(u) 9(asz) gur ziz2-bi 2(asz) gur";"its barley 19 gur  its emmer 2 gur";"its barley 19 gur its emmer 2 gur field Latur";"75.983569"
"87";"a-sza3 {d}szul-pa-e3 apin-la2 lugal-nesag-e ($ blank space $) ur-{d}gilgamesx(|BIL3.GA.MES|)";"field of ulpae  the tiller Lugalnesage  UrGilgame";"the field of Amrima 2 ee3 field 6 gur from ARAD under seal of Lugirizal";"5.816635"
"88";"1(disz) masz2 giri3 ha-ge 1(u) 5(disz) udu sza3 uri5{ki}-...";"1 goat via age  15 sheep within Ur";"1 billy goat via ImidItar cattle manager 1 billy goat foreman UrBaba cattle manager";"6.285596"
"89";"mu-kux(DU) iti ses-da-gu7 mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul";"deliveries  Month eating piglettes  year Kima and Hurti were destroyed";"delivery month Pigletfeast year Kima was destroyed";"9.469167"
"90";"szunigin 6(disz) gurusz 2(asz) 2(barig)-ta szunigin 1(disz) gurusz 2(asz) 2(barig)";"Total 6 male workers 2 gur 2 barig each  Total 1 male worker 2 gur 2 barig";"total 6 agricultural laborers for 3 days total 38 labortroops in bala stationed in bala stationed";"2.297423"
"91";"a2-bi u4 1(gesz'u) 4(u)-kam 1(bur'u) 1(bur3) 1(esze3) GAN2 gesz-ur3-ra a-ra2 2(disz)-kam 4(disz) 1/2(iku) GAN2-ta";"its labor 64 workdays  11 bur3 1 ee3 field area harrowing twice at 4 12 iku field area each";"its labor 1 days labor of oxen drivers field work to be done";"4.630944"
"92";"4(disz) gu4 3(u) 2(disz) udu masz2 hi-a";"4 oxen 32 sheep goats various";"4 oxen 3 cows 3 grainfed sheep";"14.535768"
"93";"giri3 ... a2 lu2 hun-ga2 3(asz) sze-ba ...";"via  wages of the hired  workers 3 gur barley rations of";"via from the account of Intaea";"4.642454"
"94";"zi-ga iti diri sze-sag11-ku5 mu {d}i-bi2-{d}suen lugal";"booked out  extra month Harvest  year IbbiSuen is king";"booked out month Harvest year Karar year was destroyed";"22.316181"
"95";"ba-usz2 u4 1(u) 3(disz)-kam ki {d}szul-gi-a-a-mu-ta";"slaughtered 13th day  from ulgiayamu";"slaughtered the 29th day from Ludingira son of Lugalitida";"10.552670"
"96";"zi-ga sza3-bi-ta nigar{gar}-ki-du10 sipa gu4 niga";"booked outs and therefroms of Nigarkidu herdsman of oxen grainfed";"booked out of the place of Lugalnamma month Festival of Dumuzi day 16";"4.065425"
"97";"bala gub-ba 2(u) 4(disz) erin2 1(barig)-ta u4 2(u)-sze3";"in bala stationed 24 labortroops at 1 barig each for 2 days";"the bala barley involved 1 gur 4 barig 3 ban 912 sila 6 shekels";"3.737438"
"98";"2(disz) gurusz ugula lu2-saga 1(u) 2(disz) gurusz ugula lu2-{d}da-ia3";"2 laborers foreman Lusaga  12 laborers foreman LuDaya";"2 laborers foreman Lusaga 12 laborers foreman LuDaya 11 laborers foreman Lugalmagure";"61.322974"
"99";"la2-ia3 su-ga ki szu-{d}utu ugula geme2 gesz-i3 sur-sur-ra-ta";"from the restored deficit of uUtu foreman of the female sesame oil pressers";"deficit 62 16 female laborer days";"3.005799"
"100";"lugal an-ub-da limmu2-ba szu-{d}x-... dub-sar";"king of the four corners scribe scribe";"king of the four corners to uSinanaSintakil his servant";"44.632361"
"101";"sza3 nibru{ki} iti ses-da-gu7 mu {d}szu-{d}suen lugal";"in Nippur month Pigletfeast year uSuen is king";"in Nippur month ubifeast year The priest in Eridu was installed";"14.991107"
"102";"3(szar2) 4(gesz'u) 2(u) sa gi si-i3-tum";"1322 bundles of reed  the remainder";"3 bur3 2 ee3 4 14 iku surface area at 1 each";"1.693249"
"103";"1(disz) nimgir-di-ne gudu4 lu2-tur-tur i3-dab5 1(disz) du-du-am3 u3 lu2-ba-x";"1 Nimgirdine the priest  did Luturtur accept  1 Duduam and Luba";"1 weaver garment motheaten year AmarSuen the king destroyed Urbilum";"4.515184"
"104";"szu szum2-ma ki {d}en-lil2-zi-sza3-gal2-ta ba-zi iti ezem-{d}szu-{d}suen";"the delivered  from the account of Enlilziagal booked out  month Festival of uSuen";"I shall have to ride away from my silver and lapis lazuli and now I shall be a slave in those parts There slavery people who can it There slavery Elam who can it";"1.088501"
"105";"4(u) 8(disz) gu4 ab2 hi-a 1(gesz'u) 2(gesz2) 5(u) 5(disz) udu masz2 hi-a";"48 oxen cows various 775 sheep goats various";"48 loaves of bread that have sat 48 loaves of bread that have sat are the bread duty";"2.147691"
"106";"szunigin sze-bi 7(gesz2) 5(u) 2(asz) 1(barig) 3(ban2) gur";"total its barley 472 gur 1 barig 3 ban2";"total its barley 425 gur 3 ban2 total its emmer 17 gur oxen manager Lugalitida";"12.874331"
"107";"iti {d}li9-si4 mu hu-uh2-nu-ri{ki} ba-hul lu2-kal-la";"month Lisi  year unuri was destroyed  Lukalla";"month Lisi year unuri was destroyed Lukalla was destroyed Lukalla";"63.894310"
"108";"sa gu4 3(disz)-kam kiszib3 ku3-ga-ni la2-ia3 3(disz) kun gu4 sa gu4 2(disz)-kam";"tendons of 3 oxen sealed tablet of Kugani  deficit 3 tails of oxen tendon of 2 oxen";"tendon of 3 oxen sealed tablet of Kugani deficit 1 tendon of sucking bullcalf";"45.376227"
"109";"ku3-bi 1(disz) 1/2(disz) gin2 gurusz 1(u) 2(disz)-am3 a2 en-te-na";"ist silver 1 12 shekels  The male laborers are 12 labor of wintertime";"its silver 1 12 mana 1 shekel 4 12 grains 1 gur of silver";"12.011055"
"110";"2(disz) udu niga {d}inanna unu{ki} giri3 lugal-i3-mah sagi";"2 barleyfed sheep for Inanna of Uruk  via Lugalimah cupbearer";"2 sheep barleyfed for Gula 1 sheep barleyfed for An 1 sheep barleyfed for Inanna";"6.608974"
"111";"1(disz) ab2 amar ga 4(disz) gu4-gal";"1 heifer calf suckling  4 mature bulls";"1 heifer calf suckling 5 male lambs suckling 4 male kids suckling";"24.088563"
"112";"ki tu-ra-a hu-um-s,u szu ba-ti";"from Turaya  did Humu  receive";"from the herdsmen 1 sheep 3 ewes";"6.567275"
"113";"ARAD2-hu-la szunigin 2(ban2) 6(disz) sila3 kasz 2(ban2) 4(disz) sila3 ninda 1/2(disz) sila3 szum2";"for ARADula  total 2 ban2 6 sila3 beer 2 ban2 4 sila3 bread 12 sila3 onions";"for uiliya 1 jug of wort 2 sila3 beer 1 ban2 bread 2 shekels oil 2 shekels alkaliplant";"5.875148"
"114";"1(disz) udu a-udu hur-sag niga 4(disz)-kam us2";"1 hybrid mouflon barleyfed of 4th grade";"1 sheep of the month day 22 elapsed";"6.567275"
"115";"sze-bi 1(gesz2) 5(u) 1(asz) 3(barig) gur";"its barley 111 gur 3 barig";"its barley 96 gur 4 barig field Ium 1 bur3 1 ee3 1 14 iku surface area at 1 each";"4.553719"
"116";"1(disz) 1/2(disz) nin-da-nir-gal2 dumu-ni-me tug2 nin-da-mu-da-gal2";"and1 12 for Nindanirgal  being her children  textile for Nindamudagal";"1 12 mana 6 13 shekel 27 grains silver the remainder therefrom";"3.386499"
"117";"da-da-ga szu ba-ti mu ki-masz{ki} ba-hul";"Dadaga  erhalten  Jahr Kima wurde zerstrt";"from Dadaga to UrUrbartab will be repaid";"6.567275"
"118";"iti ezem-an-na 1(disz) udu giri3 inim-{d}lu2-x ...";"month Festival of An  1 sheep via Inim";"month Festival of An day 3 elapsed year Hari and Kima were destroyed";"19.338531"
"119";"8(gesz2) 4(u) 2(disz) udu 3(u) 2(disz) masz2";"522 sheep 32 buck goats";"8 workdays at sadu stationed 6 workdays at the sadura ditch before calfhouse under seal of Agugu";"1.143478"
"120";"ugula sza3-nin-ga2 GAN2-gu4 3(bur3) 1(esze3) 1(iku) 1/2(iku) GAN2 1(u)-ta";"foreman aninga  plowdomain  total 3 bur3 1 ee3 1 12 iku surface area at 1 each";"foreman Dudumu 68 gur barley 83 gur 3 barig emmer";"2.738597"
"121";"szu ba-ti mu si-ma-num2{ki} ba-hul";"receive  year Simanum was destroyed  year Simanum was destroyed";"received month Dumuzi year after uSuen the king the Amorite wall erected";"3.386499"
"122";"szunigin 5(disz) kusz gu4 mu 2(asz) a-gar nu-gu7-a";"together 5 hides of twoyear oxen not tanned";"together 5 hides of oxen not tanned";"51.544868"
"123";"pisan-dub-ba nig2-ka9-ak KA la2-a";"Basketoftablets   Accounts  of the fatteners";"Basketoftablets accounts are here";"12.440235"
"124";"nig2-ka9-ak pa3-da iti min-esz3 mu {d}szu-{d}suen lugal";"Account of Pada Month mine year uSuen is king";"account of month of Year after Suen is king";"10.552670"
"125";"1(esze3) 3(iku) GAN2 su3 a-sza3 tur an-ka";"1 ee3 3 iku field fallow  the small field of Anka";"1 ee3 3 iku field area 1 ee3 4 iku field area";"33.180774"
"126";"mar-sa-a gub-ba kiszib3 ur-{d}ba-ba6 1(gesz'u) 7(gesz2) 4(u) 6(asz) gur in-nu";"stationed at marsa  under seal of UrBaba  166 gur straw";"for the ploughmen and 3 for 3 days from the tablet of the governor 2@@ 53 labortroop workdays";"2.147691"
"127";"2(u) 7(disz) geme2 u4 3(disz)-sze3 bala-ta gur-ra";"27 female laborers in 3 days returned from the bala service";"27 headgur barley exchange goods for wool did Uremu";"3.817681"
"128";"5(asz) 1(barig) sze kasz gur 3(asz) 2(barig) 5(ban2) la2 1(disz) sila3 gur";"5 gur 1 barig barley for beer and 3 gur 2 barig 5 ban2 less 1 sila3";"5 gur 1 barig 3 ban2 ration barley with 3 gur 4 barig 2 ban2 barley measured out at the royal measure";"14.610534"
