input,actual,predicted
"1(u) 8(asz) 1(barig) kiszib3 ur-{d}ba-ba6 7(asz) 3(ban2) kiszib3 ur-{d}ig-alim dumu da-da
","and 18 gur 1 barig under seal of UrBaba 7 gur 3 ban2 under seal of UrIgalim son of Dada
","18 gur 1 barig 3 ban2 under seal of UrBaba son of Dada
"
"5(asz) 2(barig) zi3 gur la2-ia3 nig2-ka9-ak la2-ia3
","5 gur 2 barig flour  deficit of the account  
","5 gur 2 barig flour deficit 5 gur
"
"b. 5(disz) kusz3 dagal a. 1(u) 1(disz) kusz3 gid2
","5 cubits the width  11 cubits the length 
","5 cubits the width 11 cubits the length
"
"2(u) 9(asz) 4(barig) 1(ban2) zi3 gur
","29 gur 4 barig 1 ban2 flour 
","29 gur 4 barig 1 ban flour
"
"pisan-dub-ba kiszib3 dab-ba da-da-mu
","Basketoftablets  sealed documents of dab  Dadamu 
","Basketoftablets sealed documents of dab Dadamu
"
"sze de6-a gur-gi mu sza-asz-ru-um ba-hul
","barley delivered  year arum was destroyed 
","barley delivered year arum was destroyed
"
"sipa udu niga-ke4 a mu-na-ru
","the shepherd of the fattened sheep   dedicated this seal 
","the shepherd of the fattened sheep dedicated this seal
"
"sze bala-bi 4(barig) 1(gesz'u) 8(gesz2) 6(asz) 4(barig) 1(ban2) 8(disz) sila3 gur
","its bala barley 4 barig and 186 gur 4 barig 1 ban2 8 sila3
","its bala barley 4 barig and its bala barley 186 gur 4 barig 1 ban2 8 sila3
"
"ur-e2-masz dub-sar dumu ur-sila-luh
","UrEma  scribe  son of Ursilalu  
","UrEma scribe son of Ursilalu
"
"1(disz) sila4 AN ...-x 1(disz) udu niga siskur2 {d}nanna
","1 lamb   1 sheep grainfed offering of Nanna 
","1 lamb 1 sheep grainfed offering of Nanna
"
"a2-bi u4 1(gesz2) 1(disz) 1(gesz'u) 2(u) 8(disz) 1/3(disz) sar al 6(disz) 1/2(disz) sar-ta
","its labor 61 days  628 13 sar at 6 12 sar a day 
","its labor 61 days 628 13 sar at 6 12 sar a day
"
"iri-sa12-rigx(|PA.MUNUS.HUB2.DU|){ki}-ta u4 2(disz)-sze3 kun-zi-da {gesz}kiri6 gesztin-sze3 ma2 diri-ga
","from Irisagrig  two workdays to reservoir of   Vineyard barge floated 
","from Irisagrig two workdays to reservoir of Vineyard barge floated
"
"1(u) 7(asz) 2(ban2) gur kiszib3 ur-e2-ninnu
","17 gur 2 ban2 under seal of UrEninnu
","17 gur 2 ban2 under seal of UrEninnu 2 ban2 UrEninnu
"
"sze-bi 1(u) 4(asz) 1(barig) gur a-sza3 pu2-a2-uz
","its barley 14 gur 1 barig  field Puauz 
","its barley 14 gur 1 barig field Puauz
"
"sza3 umma{ki} mu us2-sa e2 puzur4 ba-du3
","in Umma  year following The house of Puzri was built
","in Umma year after The house of PuzriDagan was erected
"
"3(gesz2) gurusz u4 1(disz)-sze3 kiszib3-bi 2(disz)-am3
","18 workdays male laborers the sealed documents are 2 
","18 workdays male laborers the sealed documents are 2
"
"dingir-sukkal 5(disz) sila3 kasz 5(disz) sila3 ninda 2(disz) sa szum2
","for Dingirsukkal  5 sila3 beer 5 sila3 bread 2 bundles onions 
","for Dingirsukkal 5 sila3 beer 5 sila3 bread 2 bundles onions
"
"szunigin 1(bur3) 4(iku) 1/4(iku) GAN2 8(disz)-ta
","total 1 bur3 4 14 iku surface area at 8 each 
","total 1 bur3 4 14 iku surface area at 8 each
"
"1(disz) udu 1(disz) sila4 1(disz) sila4 ga
","1 ram  1 male lamb  1 male suckling lamb 
","1 ram 1 male lamb 1 male suckling lamb
"
"1(u) la2 1(disz) udu 3(disz) masz2
","1 less 1 rams  3 billy goats 
","9 sheep 3 billy goats
"
"2(disz) ad7 gu4 2(disz) kun gu4
","2 carcases of oxen  5 tails of oxen 
","2 carcasses of oxen 2 tails of oxen
"
"iti sze-sag11-ku5 mu {d}szu-{d}suen lugal 2(gesz2) 5(u) 5(disz)
","month Harvest  year uSuen is king  total 175 
","month Harvest year uSuen is king total 175
"
"szunigin 1(bur3) GAN2 1(u) la2 1/2(disz)-ta
","total 1 bur3 surface area at 1 less 12 each 
","total 1 bur3 surface area at 1 less 12 each
"
"mu hu-uh2-nu-ri{ki} ba-hul 8(disz)
","year unuri was destroyed  total 8 
","year unuri was destroyed total 8
"
"inim-{d}szara2 engar dumu ur-{gesz}gigir 1(bur3) 1(esze3) GAN2 1(u) 1(disz)-ta
","Inimara the plowman son of Urgigir  1 bur3 1 ee3 surface area at 11 each 
","Inimara the plowman son of Urgigir 1 bur3 1 ee3 surface area at 11 each
"
"kiszib3 lu2-gu-la sanga {d}dumu-zi ur-nig2-e
","under seal of Lugula  high priest of Dumuzi  by Urnig 
","under seal of Lugula high priest of Dumuzi
"
"3(gesz'u) sze gur 4(u) gig gur
","18 gur barley  4 gur wheat 
","18 gur barley 4 gur wheat
"
"a2-bi u4 4(szar2) 4(gesz'u) 8(gesz2) 3(u) 4(disz) 1/2(disz)
","labor involved 17314 12 workdays 
","its labor 17314 12 workdays
"
"1(u) gin2 ku3-babbar ki {d}nin-gir2-su-i3-sa6-ta ur-{d}lamma
","1 shekels silver  from Ningirsuisa  did Urlamma 
","1 shekels silver from Ningirsuisa did Urlamma
"
"lugal an-ub-da limmu2-ba ur-{d}... dub-sar
","king of the four corners Ur scribe
","king of the four corners scribe scribe
"
"geme2 kikken2 {gesz}tukul-e-dab5-ba-me 2(asz) 1(barig) 3(ban2) gur
","for the female millers seized by the weapons 2 gur 1 barig 3 ban2
","242 5832 gur 1 barig 3 ban2
"
"nu-banda3 e-lu-da-an sza3 unu{ki} giri3 lugal-am-gal
","supervisor Eludan  in Uruk  via Lugalamgal 
","supervisor Eludan in Uruk via Lugalamgal
"
"8(disz) udu ... 1(disz) udu ...
","8 sheep   1 sheep  
","8 sheep 1 sheep
"
"{d}nansze-kam lu2 lunga u3 si-i3-tum lu2 didli
","Nanekam brewer  and the deficit documents of various men 
","Nanekam brewer and the deficit documents of various men
"
"pisan-dub-ba nig2-ka9-ak sze gu4 engar
","Basketoftablets  accounts  barley oxen plowman 
","Basketoftablets accounts of barley the ploughman
"
"5(disz) gu4 niga 1(disz) gu4 gun3-a niga
","5 oxen grainfed  1 ox speckled grainfed 
","5 oxen grainfed 1 ox speckled grainfed
"
"szunigin sze-bi 5(u) 1(asz) 4(barig) 2(ban2) gur
","total its grain 51 gur 4 barig 2 ban2 
","total its grain 51 gur 4 barig 2 ban2
"
"mu-dab5 igi-ni in-gar mu lugal u4 a-ra2 2(disz)-ka
","he was captured  and presented  By the royal name When a 2nd time 
","he was captured and presented By the royal name When a 2nd time
"
"a-sza3 du6-gesz-i3-ka {d}szara2-zi-da engar 1(bur3) GAN2 1(u)-ta
","field HillockofUrbartab  arazida the plowman  1 bur3 surface area at 1 each 
","field HillockofUrbartab arazida the plowman 1 bur3 surface area at 1 each
"
"u3-tu-da giri3 bu3-lu5-lu5 mu-kux(DU)
","newborns  via Bululu  delivery 
","via Bululu delivery
"
"b. n 3(disz) us2 x 4(disz) gurusz-bi x
","n  3 ninda the side   4 its workmen  
","n 3 ninda the side 4 its workmen
"
"sag-nig2-gur11-ra-kam sza3-bi-ta 6(gesz2) gurusz u4 1(disz)-sze3
","are the debit  therefrom  36 male laborer workdays 
","are the debit therefrom 36 male laborer workdays
"
"1(disz) udu a-lum gesz-du3 1(u) la2 1(disz) udu a-lum
","1 alumsheep breeder  9 alumsheep 
","1 longfleeced sheep breeder 1 alumsheep
"
"sahar ($ blank space $) 1(u) 4(disz) ninda 1/3(disz) sar-ta
","its soil   14 ninda long at 13 sar per ninda 
","its soil 14 ninda long at 13 sar per ninda
"
"{u2}har-an ga6-ga2 kiszib3 na-ba-sa6 1(gesz2) 5(u) 5(disz) geme2 u4 1(disz)-sze3
","harangrass carried  under seal of Nabasa  115 workdays 
","harangrass carried under seal of Nabasa 115 workdays
"
"5(u) 5(disz) masz2-gal u4 2(u)-kam ki ab-ba-sa6-ga-ta
","55 billy goats full grown  2th day  from Abbasaga 
","55 fullgrown billy goats 2th day from Abbasaga
"
"5(disz) gurusz ugula i3-kal-la 1(u) ugula tab-sza-la
","5 male laborers  foreman Ikalla  1 foreman Tabala 
","5 male laborers foreman Ikalla 1 foreman Tabala
"
"iti masz-ku3-gu7 1(u) 5(disz) udu 4(disz) masz2 1(u) 4(disz) gin2-ta
","month GazelleFeast  15 rams 4 billy goats 14 shekels each 
","month GazelleFeast 15 rams 4 billy goats 14 shekels each
"
"sze-bi 4(u) 4(asz) 1(barig) gur a-sza3 zalag-ga-a-gesztin
","its barley 44 gur 1 barig  field Zalagaagetin 
","its barley 44 gur 1 barig field Zalagaagetin
"
"bala im-ma su-ga-ta gi-zi ze2-de3 usz-mu
","From the balaobligation of the last year that was repaid  to cut fresh reeds  Uu 
","From the balaobligation of the last year that was repaid to cut fresh reeds Uu
"
"szunigin 1/2(iku) GAN2 1(u)-ta szunigin 2(bur3) 1(iku) 1/4(iku) GAN2 1(u) la2 1/2(disz)-ta
","total 2 bur3 1 12 iku surface area at 1 each  total 2 bur3 1 14 iku surface area at 1 less 12 each 
","total 12 iku surface area at 1 each total 2 bur3 1 14 iku surface area at 1 less 12 each
"
"zu-ba-ga i3-dab5 iti u5-bi2-gu7
","Zubaga  accepted  month Ubifeast 
","Zubaga accepted month Ubifeast
"
"1(disz) az ($ blank space $) 4(disz)
","1 bear total 4
","1 bear bear
"
"sze-bi 6(asz) gur iti ezem-{d}szul-gi 2(gesz2) 3(u) udu niga 1(disz) 1/2(disz) sila3-ta
","its barley 6 gur  month ulgi  15 sheep grainfed at 1 12 sila3 each 
","its barley 6 gur month Festival of ulgi 15 sheep grainfed at 1 12 sila3 each
"
"nu-ur2-i3-li2 5(disz) sila3 kasz 3(disz) sila3 ninda 3(disz) gin2 szum2 3(disz) gin2 i3 2(disz) gin2 naga
","for Nril  5 sila3 beer 3 sila3 bread 3 shekels onions 3 shekels oil 2 shekels alkaliplant 
","for Nril 5 sila3 beer 3 sila3 bread 3 shekels onions 3 shekels oil 2 shekels alkaliplant
"
"1(u) 3(disz) geme2 u4 1(disz)-sze3 a i7-de3 usz2-a
","13 female laborer workdays  water to the river  
","13 female laborer days
"
"iti masz-da3-gu7 mu us2-sa ur-bi-lum{ki} ba-hul
","month Gazellefeast  year after Urbilum was destroyed 
","month Gazelle feast year after Urbilum was destroyed
"
"kin-bi 2(u) 6(disz) 2/3(disz) sar e e2-lugal-sze3
","its work 26 23 volumesar  to the ditch of royal household 
","its work 26 23 volumesar to the x ditch of royal household
"
"kas4 szusz3 gur8-za-an x-dar
","Kas the cattle administrator  Gurzan  dar 
","Kas the cattle administrator Gurzan dar
"
"iti 1(u) 2(disz)-kam mu {d}amar-{d}suen lugal-e ur-bi2-lum{ki} ba-hul
","a period of 12 months  year AmarSuen the king Urbilum destroyed 
","a period of 12 months year AmarSuen the king Urbilum destroyed
"
"sze ab-ba muhaldim ensi2-ka e2-gibil ab-ba muhaldim-ta
","Gerste des Abba des Koches des Stadtfrsten  aus dem NeuHaus des Abba des Koches 
","barley is your servant is your servant is your servant
"
"ki ur-{d}ur3-bar-tab-ta 3(u) 6(disz) geme2 3(ban2)
","from UrUrtab  36 female laborers each of whom received 3 ban per month 
","from UrUrtab 36 female laborers each of whom received 3 ban per month
"
"1(disz) ku6 1(disz) sa szum2 ur-{d}nanna
","1 fish 1 bundle onions  UrNanna 
","1 fish 1 bundle of onions UrNanna
"
"sze-bi 1(u) 9(asz) gur ziz2-bi 2(asz) gur
","its barley 19 gur  its emmer 2 gur 
","its barley 19 gur its emmer 2 gur
"
"a-sza3 {d}szul-pa-e3 apin-la2 lugal-nesag-e ($ blank space $) ur-{d}gilgamesx(|BIL3.GA.MES|)
","field of ulpae  the tiller Lugalnesage  UrGilgame 
","field of ulpae the tiller Lugalnesage UrGilgame
"
"1(disz) masz2 giri3 ha-ge 1(u) 5(disz) udu sza3 uri5{ki}-...
","1 goat via age  15 sheep within Ur  
","1 goat via age 15 sheep within Ur
"
"mu-kux(DU) iti ses-da-gu7 mu ki-masz{ki} u3 hu-ur5-ti{ki} ba-hul
","deliveries  Month eating piglettes  year Kima and Hurti were destroyed 
","deliveries Month eating piglettes year Kima and Hurti were destroyed
"
"szunigin 6(disz) gurusz 2(asz) 2(barig)-ta szunigin 1(disz) gurusz 2(asz) 2(barig)
","Total 6 male workers 2 gur 2 barig each  Total 1 male worker 2 gur 2 barig 
","Total 6 male workers 2 gur 2 barig each total 2 male workers 2 gur 2 barig each
"
"a2-bi u4 1(gesz'u) 4(u)-kam 1(bur'u) 1(bur3) 1(esze3) GAN2 gesz-ur3-ra a-ra2 2(disz)-kam 4(disz) 1/2(iku) GAN2-ta
","its labor 64 workdays  11 bur3 1 ee3 field area harrowing twice at 4 12 iku field area each 
","its labor 64 workdays 11 bur3 1 ee3 field area harrowing twice at 4 12 iku field area each
"
"4(disz) gu4 3(u) 2(disz) udu masz2 hi-a
","4 oxen 32 sheep goats various
","4 oxen 32 sheep goats various
"
"giri3 ... a2 lu2 hun-ga2 3(asz) sze-ba ...
","via  wages of the hired  workers 3 gur barley rations of 
","via labor of the hired men 3 gur barley rations
"
"zi-ga iti diri sze-sag11-ku5 mu {d}i-bi2-{d}suen lugal
","booked out  extra month Harvest  year IbbiSuen is king 
","booked out extra month Harvest year IbbiSuen is king
"
"ba-usz2 u4 1(u) 3(disz)-kam ki {d}szul-gi-a-a-mu-ta
","slaughtered 13th day  from ulgiayamu 
","slaughtered 13th day from ulgiayamu
"
"zi-ga sza3-bi-ta nigar{gar}-ki-du10 sipa gu4 niga
","booked outs and therefroms of Nigarkidu herdsman of oxen grainfed 
","booked outs and therefroms of Nigarkidu herdsman of oxen grainfed
"
"bala gub-ba 2(u) 4(disz) erin2 1(barig)-ta u4 2(u)-sze3
","in bala stationed 24 labortroops at 1 barig each for 2 days
","in bala stationed 24 labortroops at 1 barig each for 2 days
"
"2(disz) gurusz ugula lu2-saga 1(u) 2(disz) gurusz ugula lu2-{d}da-ia3
","2 laborers foreman Lusaga  12 laborers foreman LuDaya 
","2 laborers foreman Lusaga 12 laborers foreman LuDaya
"
"la2-ia3 su-ga ki szu-{d}utu ugula geme2 gesz-i3 sur-sur-ra-ta
","from the restored deficit of uUtu foreman of the female sesame oil pressers 
","from the restored deficit of uUtu foreman of the female sesame oil pressers
"
"lugal an-ub-da limmu2-ba szu-{d}x-... dub-sar
","king of the four corners scribe scribe
","king of the four corners scribe scribe
"
"sza3 nibru{ki} iti ses-da-gu7 mu {d}szu-{d}suen lugal
","in Nippur month Pigletfeast year uSuen is king
","in Nippur month Pigletfeast year uSuen is king
"
"3(szar2) 4(gesz'u) 2(u) sa gi si-i3-tum
","1322 bundles of reed  the remainder 
","1322 bundles of reed the remainder
"
"1(disz) nimgir-di-ne gudu4 lu2-tur-tur i3-dab5 1(disz) du-du-am3 u3 lu2-ba-x
","1 Nimgirdine the priest  did Luturtur accept  1 Duduam and Luba
","1 UrEnunna 5 Nimgirdine they are guduofficiants of An 1 Lammaprotection Zababa
"
"szu szum2-ma ki {d}en-lil2-zi-sza3-gal2-ta ba-zi iti ezem-{d}szu-{d}suen
","the delivered  from the account of Enlilziagal booked out  month Festival of uSuen 
","given power from the account of Enlilziagal booked out month Festival of uSuen
"
"4(u) 8(disz) gu4 ab2 hi-a 1(gesz'u) 2(gesz2) 5(u) 5(disz) udu masz2 hi-a
","48 oxen cows various 775 sheep goats various
","48 oxen cows various 775 sheep goats various
"
"szunigin sze-bi 7(gesz2) 5(u) 2(asz) 1(barig) 3(ban2) gur
","total its barley 472 gur 1 barig 3 ban2 
","total its barley 472 gur 1 barig 3 ban2
"
"iti {d}li9-si4 mu hu-uh2-nu-ri{ki} ba-hul lu2-kal-la
","month Lisi  year unuri was destroyed  Lukalla 
","month Lisi year unuri was destroyed Lukalla
"
"sa gu4 3(disz)-kam kiszib3 ku3-ga-ni la2-ia3 3(disz) kun gu4 sa gu4 2(disz)-kam
","tendons of 3 oxen sealed tablet of Kugani  deficit 3 tails of oxen tendon of 2 oxen 
","tendon of 3 oxen sealed tablet of Kugani deficit 3 tails of oxen tendon of 2 oxen
"
"ku3-bi 1(disz) 1/2(disz) gin2 gurusz 1(u) 2(disz)-am3 a2 en-te-na
","ist silver 1 12 shekels  The male laborers are 12 labor of wintertime 
","ist silver 1 12 shekels The male laborers are 12 labor of wintertime
"
"2(disz) udu niga {d}inanna unu{ki} giri3 lugal-i3-mah sagi
","2 barleyfed sheep for Inanna of Uruk  via Lugalimah cupbearer 
","2 barleyfed sheep for Inanna of Uruk via Lugalimah cupbearer
"
"1(disz) ab2 amar ga 4(disz) gu4-gal
","1 heifer calf suckling  4 mature bulls 
","1 heifer calf suckling 4 mature bulls
"
"ki tu-ra-a hu-um-s,u szu ba-ti
","from Turaya  did Humu  receive 
","from the water throughs are words he received
"
"ARAD2-hu-la szunigin 2(ban2) 6(disz) sila3 kasz 2(ban2) 4(disz) sila3 ninda 1/2(disz) sila3 szum2
","for ARADula  total 2 ban2 6 sila3 beer 2 ban2 4 sila3 bread 12 sila3 onions 
","total 2 ban2 6 sila3 beer 2 ban2 2 sila3 bread 4 12 sila3 onions
"
"1(disz) udu a-udu hur-sag niga 4(disz)-kam us2
","1 hybrid mouflon barleyfed of 4th grade 
","1 sheep of the mountains grainfed sheep 4th grade
"
"sze-bi 1(gesz2) 5(u) 1(asz) 3(barig) gur
","its barley 111 gur 3 barig 
","its barley 111 gur 3 barig
"
"1(disz) 1/2(disz) nin-da-nir-gal2 dumu-ni-me tug2 nin-da-mu-da-gal2
","and1 12 for Nindanirgal  being her children  textile for Nindamudagal 
","and1 12 for Nindanirgal being her children textile for Nindamudagal
"
"da-da-ga szu ba-ti mu ki-masz{ki} ba-hul
","Dadaga  erhalten  Jahr Kima wurde zerstrt 
","Dadaga erhalten Jahr Kima wurde zerstrt
"
"iti ezem-an-na 1(disz) udu giri3 inim-{d}lu2-x ...
","month Festival of An  1 sheep via Inim  
","month Festival of An 1 sheep via Bani
"
"8(gesz2) 4(u) 2(disz) udu 3(u) 2(disz) masz2
","522 sheep 32 buck goats
","522 sheep 32 buck goats
"
"ugula sza3-nin-ga2 GAN2-gu4 3(bur3) 1(esze3) 1(iku) 1/2(iku) GAN2 1(u)-ta
","foreman aninga  plowdomain  total 3 bur3 1 ee3 1 12 iku surface area at 1 each 
","foreman aninga 3 bur3 1 ee3 1 12 iku surface area at 1 each
"
"szu ba-ti mu si-ma-num2{ki} ba-hul
","receive  year Simanum was destroyed  year Simanum was destroyed 
","receive year Simanum was destroyed
"
"szunigin 5(disz) kusz gu4 mu 2(asz) a-gar nu-gu7-a
","together 5 hides of twoyear oxen not tanned 
","together 5 hides of twoyear oxen not tanned
"
"pisan-dub-ba nig2-ka9-ak KA la2-a
","Basketoftablets   Accounts  of the fatteners 
","Basketoftablets accounts of from Abbasaga
"
"nig2-ka9-ak pa3-da iti min-esz3 mu {d}szu-{d}suen lugal
","Account of Pada Month mine year uSuen is king
","account of Pada month mine year uSuen is king
"
"1(esze3) 3(iku) GAN2 su3 a-sza3 tur an-ka
","1 ee3 3 iku field fallow  the small field of Anka 
","1 ee3 3 iku field fallow the small field of Anka
"
"mar-sa-a gub-ba kiszib3 ur-{d}ba-ba6 1(gesz'u) 7(gesz2) 4(u) 6(asz) gur in-nu
","stationed at marsa  under seal of UrBaba  166 gur straw 
","stationed at marsa under seal of UrBaba 166 gur straw
"
"2(u) 7(disz) geme2 u4 3(disz)-sze3 bala-ta gur-ra
","27 female laborers in 3 days returned from the bala service 
","27 female laborers in 3 days returned from the bala service
"
"5(asz) 1(barig) sze kasz gur 3(asz) 2(barig) 5(ban2) la2 1(disz) sila3 gur
","5 gur 1 barig barley for beer and 3 gur 2 barig 5 ban2 less 1 sila3
","5 gur 1 barig barley for beer and 3 gur 2 barig 5 ban2 less 1 sila3
"
"1(asz) 1(barig) x gur zi3 kiszib3 ur-{d}lugal-banda3
","1 gur n sila3 flour  under seal of Urlugalbanda 
","1 gur 1 barig barley according to the royal measure Taribu 1 gur
"
"4(ban2) dabin 7(disz) sila3 ninda AB u4 1(disz)-kam
","4 ban2 barley flour 7 sila3 ABbread on the 1st day
","4 ban2 barley flour 7 sila3 ABbread on the 1st day
"
"ugula lu2-gi-na 1(gesz'u) 3(u) 1(asz) 3(barig) sze gur
","foreman Lugina  631 gur 3 barig barley 
","foreman Lugina 631 gur 3 barig barley
"
"sza3 nibru{ki} iti ki-siki-{d}nin-a-zu mu us2-sa ma2 dara4-abzu {d}en-ki-ka ba-ab-du8
","in Nippur  month Wool center of Ninazu  year following The barge Daraabzu of Enki was caulked 
","in Nippur month kisiki of Ninazu year after The boat named IbexofAbzu caulked
"
"u4 1(u)-sze3 kam-sal4-la{ki}-ta nibru{ki}-sze3 ma2 gid2-da ma2 ba-al-la
","for 1 days from Kamsala to Nippur barge punted barge unloaded 
","1 days from Meenkar to Nippur barge punted barge unloaded
"
"2(asz) mu ur-{d}szusz3-{d}ba-ba6-sze3 kiszib3 a-ab-ba nu-banda3-gu4
","2 gur in place of UruBaba under seal of Aabba the supervisor of oxen
","2 gur in place of UruBaba under seal of Aabba the supervisor of oxen
"
"e2 nam-ha-ni e2 {d}szu-{d}suen e2 {d}nin-gesz-zi-da
","for the house of Namani  for the house of Suen  for the house of Ningezida 
","for the house of Namani for the house of Suen for the house of Ningezida
"
"giri3 ur-e2-babbar2 u3 lugal-siskur2-re 2(u) 9(asz) 3(barig) 4(ban2) gur
","via UrEbabbar and Lugalsiskure 29 gur 3 barig 4 ban2
","via UrEbabbar and Lugalsiskure 29 gur 3 barig 4 ban2
"
"pisan-dub-ba nig2-ka9-ak lu2 nig2-dab5 gu4 udu-ke4-ne
","Basketoftablets  accounts  men takers of oxen and sheep 
","Basketoftablets accounts men takers of oxen and sheep
"
"1(gesz2) gurusz al 5(disz) sar-ta {d}szara2-mu-tum2 engar
","6 workers each hoeing 5 sar  aramutum the plot manager 
","6 workers each hoeing 5 sar aramutum the plot manager
"
"lugal an-ub-da limmu2-ba nu-ur2-esz18-dar dub-sar
","king of the four corners  scribe  scribe 
","king of the four corners scribe scribe
"
"{d}szul-gi-a-mu i3-dab5 iti u4 2(u) 8(disz) ba-zal
","ulgiayamu accepted  of the month the 28th day passed 
","ulgiayamu accepted of the month the 28th day passed
"
"gu2-ab-ba{ki}-sze3 i3-gal2 bala dug sag
","to Guabba  are here  bala of the headjugs 
","to Guabba are here bala of the headjugs
"
"u4 1(disz)-sze3 i7 sal4-la{ki}-asz ma2 gid2-da
","for 1 day to the Salla canal boat towed 
","for 1 day to the Salla canal boat towed
"
"pisan-dub-ba im sze muhaldim lugal-a2-zi-da-sze3
","Basketoftablets  tablets of the barley of the cooks  for Lugalazida 
","Basketoftablets tablets of the barley of the cooks for Lugalazida
"
"1(disz) masz2 ba-usz2 ki ku3-ga-ni-ta kiszib3 lu2-kal-la
","1 billy goat slaughtered  from Kugani  under seal of Lukalla 
","1 billy goat slaughtered from Kugani under seal of Lukalla
"
"1/2(disz) inim-{d}inanna sza3-gu4 lugal-nesag-e gab2-us2 nig2-du7-pa-e3
","12 workman InimInanna  oxen driver of Lugalnesage  herding apprentice of Nigdupae 
","12 workman InimInanna oxen driver of Lugalnesage herding apprentice of Nigdupae
"
"u4 7(disz)-kam iti sig4-{gesz}i3-szub-ba-gar mu us2-sa ma2 {d}en-ki ba-ab-du8
","7th day  month Bricksplacedinmoulds  year following The barge of Enki was caulked 
","7th day month Bricksplacedinmoulds year following The barge of Enki was caulked
"
"szunigin 2(barig) 1(ban2) 4(disz) 1/2(disz) sila3 zi3
","total 2 barig 1 ban2 4 12 sila3 of flour 
","total 2 barig 1 ban2 4 12 sila3 flour
"
"1(disz) {munus}asz2-gar3 niga {d}en-lil2 mu-kux(DU) szu-da-da
","1 female kid barleyfed  for Enlil  delivery of Dada 
","1 female kid grainfed Enlil 1 male kid
"
