,input,actual,predicted
113,"sza3 ki-nu-nir{ki}
","in Kinunir 
","xxx
"
114,"ma2-gan me-luh-ha kur-bi-ta im-ma-ta-e11-de3
","Magan and Meluhha will descend from their land 
","and made the boats of Meluhha
"
115,"szita4-e3
","itae 
","apple
"
116,"ba-usz2
","has died
","slaughtered
"
117,"ur-{d}nin-gir2-su
","UrNingirsu 
","UrNingirsu
"
118,"nu-banda3-gu4-ke4-ne
","xxx 
","xxx
"
119,"lugal larsa{ki}-ma-sze3
","king of Larsa 
","king of Larsa
"
120,"sag-gig2-ga-ni-sze3 igi zi mu-szi-in-bar
","He looked faithfully towards his blackheaded people 
","On behalf of the true bowed its youth
"
121,"1(u) ninda ka-gu7 ba-an-ne2 3(u) du8
","1 snacking loaves per ban2 3 baked 
","1 snacking loaves per ban2 3 baked
"
122,"e2-babbar-ra-sze3
","For the Ebabbar 
","apple
"
123,"iri{ki}-na ir7-sag{muszen}-gin7 gesz-bi-da na-na-ra-ab-dal-e
","In his city I shall make the people fly from the trees like pigeons 
","So that the warehouses would be provisioned
"
124,"siskurx(|AMAR.AMAR|)-ra-a-ni szu ba-an-szi-ti
","She accepted her siskur offeringritual on her Enheduanas behalf 
","So that the donkey had fallen away from the hand
"
125,"2(bur3) GAN2 ...
","2 bur3 field 
","2 bur3 field
"
126,"{d}mar-tu ga-ba-an-tuku-tuku
","I will marry Martu
","but the instructions of Martu though they were to Martu
"
127,"szu-a bi2-gi4
","delivered 
","I returned
"
128,"si-i3-tum nig2-ka9-ak-a
","remainder of the account 
","remaining deficit from the evildoers
"
129,"ur-am3-ma
","Uramma 
","Uramma
"
130,"8(asz) du8
","8 units of baked bread 
","8 units of baked bread
"
131,"lu2-unu{ki} ugula x
","LuUnu  
","LuUnu
"
132,"gesz-hur szu-luh ku3-ga
","who the divine plans and lustration rites 
","who the holy cleansing rites
"
133,"|ZI&ZI.LAGAB|
","kind of rush 
","rushes
"
134,"... x AN x x x gal-la ...
"," great  
","your holy me
"
135,"be-li2-i3-li2 maszkim
","Belil was enforcer 
","Blil responsible official
"
136,"iti szu-esz-sza
","month uea 
","Month uea
"
137,"ku3-ga-am3
","City your inside is pure 
","In Garana
"
138,"lugal-mu {d}nin-gir2-su en a husz gi4-a
","My king Ningirsu lord holding back the terrible water 
","my master Ningirsu holding back the terrible water
"
139,"mu-na-du3
","he built for him 
","he built for him
"
140,"a-ba szar2-ra-na
","and what he has reiterated 
","and what he has reiterated
"
141,"za-e a-ba-a %a at-ta-ma-an-nam
","you whom 
","You who say Who leans upon the axe at its trough
"
142,"a mu-na-ru
","he dedicated this to himher
","dedicated this to him
"
143,"a-gar3-a-gar3-ra ...
","I fill the meadows with water 
","They were arguing in the They
"
144,"2(disz) gin2 ku3-babbar
","2 shekels of silver 
","2 shekels of silver
"
145,"giri3 x-...-a x x
","via  
","The path for the side
"
146,"mu-du3
","he built 
","he built
"
147,"pisan-dub-ba
","Basketoftablets  
","Basketoftablets
"
148,"x MU GAN ... x tu-lu sza3 ...
"," slackening  mercy and pity Inanna it is yours 
","The man ofattached to the courtyard touchedadornedchose the ground
"
149,"u4 e2-an-na
","when Eanna 
","when the Eanna
"
150,"giri3 gu3-de2-a ab-ba-iri
","xxx 
","xxx
"
151,"... %a ...-szu
","he set up there 
","So that the warehouses would be provisioned
"
152,"{tug2}pala3 nam-nin-a bar-ra-na i-im-dul
","She has covered her body with the pala dress of ladyship 
","pala dress the garment of ladyship was forgotten
"
153,"sze-ba lu2 szuku-dab5-ba-ne
","barley rations of the ration holding ones 
","Monthly barley rations
"
154,"lu2 lunga e2-gibil
","xxx 
","xxx
"
155,"...{ki}-ke4
","its parapet  
","apple
"
156,"su-mu-la-il3
","which SmlaIl 
","which SmlaIl
"
157,"ab-sin2-ta la-ag ri-ri-ga
","from the furrows clods struck down 
","from the furrows clods struck down
"
158,"lu2(LUGAL)-ma2-gur8-ra
","for Lumagura
","apple
"
159,"ur-sag kal-ga
","the mighty warrior 
","the mighty warrior
"
160,"mu-kux(DU)
","delivery 
","delivery
"
161,"sag il2-la ul-le-esz e3-da-ni
","in beauty had come forth head held high 
","As the short side
"
162,"ku3-bi 2(u) 4(disz) sze
","its silver 24 grains 
","its silver 24 grains
"
163,"igi gig-gig igi gig-gu10 nu-mu-ni-ib2-be2
","The one whose eye hurtwith the igigig disease did not say my hurting eye 
","The one whose head hurtwith the saggig disease did not say my hurting head
"
164,"ugula ARAD2-{d}nanna
","foreman ARADNanna 
","foreman ARADNanna
"
165,"ARAD2-{d}nanna
","his servant 
","ARADNanna
"
166,"{d}na-ra-am-{d}suen masz2-ge6-ka igi ba-ni-in-du8-a
"," NaramSuen saw that in a nocturnal vision 
","They looked at the base of the mountain range
"
167,"3(disz) nin-bur-szu-ma
","3 mana wool for Ninburuma 
","3 mana wool for Ninani
"
168,"sila4 nim-ma
","lamb born in the fall 
","from high lamb
"
169,"sza3-tam ARAD2-zu
","the szatam official is your servant 
","is your servant
"
170,"lugal-uszumgal
","Lugaluumgal 
","is the greatest of Lugaluumgal
"
171,"nin-tur-tur-mu
","of Ninturturmu 
","apple
"
172,"za3 sar-ra-ka-ni im-...
","He returned to the boundary of his garden 
","ukaletuda looked at the border of his garden
"
173,"3(u) 8(disz)
","total 38 
","total 38
"
174,"...-tar-ra szu-ba igi mi-ni-in-kur2 zi-...
","The Namtar demon had altered my appearance in its own hands and I was fleeing for my life 
","So that the warehouses would be forgotten
"
175,"pesz2
","mouse 
","rodent
"
176,"lu2 a2 nig2-hul-dim2-ma
","A person who an act of wickedness shall order 
","A person who an evil order
"
177,"dingir an gal-ta ki gal-sze3 gesztu2-ga-ni na-an-gub
","From the great heaven the goddess set her mind on the great below 
","From the great heaven Inana set her mind on the great below
"
178,"ARAD2-zu
","is your servant
","is your servant
"
179,"szu na-an-na-zi-zi
","Upon the standard 
","he must not raise a hand
"
180,"ki zu-ba-ga-ta
","from Zubaga 
","to make the place tremble
"
181,"2(disz) gu4 niga {d}inanna
","2 oxen grainfed Inanna 
","2 oxen grainfed Inanna
"
182,"iti ...-kam
","of the nth month
","month
"
183,"3(disz) kusz udu ensi2 x ...
","3 sheephides for the governor of  
","3 sheephides for the governor
"
184,"zi3 dub-...-na8-na8 ...
","They were not consumers of heaped flour they were not drinkers of drawn water 
","Stinking like fetid flour
"
185,"dumu lugal-TAR
","daughter of LugalTAR 
","LugalTAR
"
186,"sukkal-a-ni {d}nin-szubur-ra-ke4 egir-a-ni i3-im-gen
","her minister Ninubur traveled on behind her 
","She says to her minister Ninubur
"
187,"u3 i3 ab2 ud5-da gar-ra
","xxx 
","xxx
"
188,"sze-bi 2(u) 9(asz) 2(barig) gur
","its barley 29 gur 2 barig 
","its barley 29 gur 2 barig
"
189,"...-x-ab-ra-ra
","You shout together with the shouting storm 
","apple
"
190,"{d}szar-ka3-li2-szar3-ri2
","arkaliarr 
","arkaliarri
"
191,"x x {d}mes-lam-ti-e3-a x x
","may Meslamtiea 
","to whom Meslamtiea
"
192,"mu hu-uh2-nu-ri{ki} ba-hul
","year unuri was destroyed 
","xxx
"
193,"a2 erin2-bi u4 4(gesz2) 3(u) 2(disz)-kam
","labor of the worktroop 272 workdays 
","labor of the worktroop 27 days
"
194,"diri 3(barig) 4(ban2) 5(disz) 1/2(disz) sila3 4(disz) gin2 mun 2(asz) gur-ta
","surplus 3 barig 4 ban2 5 12 sila3 4 shekels salt at 2 gur each 
","surplus 3 barig 4 ban2 5 12 sila3 each
"
195,"6(disz) 1/2(disz) u4-sze3
","for 6 12 days
","6 12 workman Muzuda
"
196,"mu si-mu-ur4-ru{ki} lu-lu-bu{ki} a-ra2 1(u) la2 1(disz)-kam-asz ba-hul
","xxx 
","xxx
"
197,"ARAD2-da-ni-ir
","IbbiSuen 
","his servant
"
198,"x si x uri
","and for his own life 
","horn of apple
"
199,"kin2-gi-a nam-dub-sar-ra-gin7 al-gig-ga mu-sze21
","Enki named among everything that has been named the assigned task of the scribal art as the most painstaking 
","So that the warehouses would be provisioned
"
200,"1(ban2) ninda 2(disz) gin2 i3 2(disz) gin2 naga
","1 ban2 1 ban2 ca 1 liters of bread 2 shekels 1 shekel ca 16 liter of oil and 2 shekels of alkali 
","1 ban2 bread 2 shekels oil 2 shekels alkaliplant
"
201,"... x TE u4 szu2-szu2-ru ninda sa6-ga dingir nig2-hul-a TUG2 nig2-sa-ha {gesz}kiri6-a gar-ni
"," a day of distress set good food for the evil god consisting of  fruit of the orchard 
","They wrapped themselves with intelligence and counsel at the place of dusk
"
202,"3(disz) sila3 kasz 2(disz) sila3 ninda 5(disz) gin2
","3 sila3 of beer 2 sila3 of bread 5 shekels of onions 
","3 sila3 beer 2 sila3 bread 5 shekels onions
"
203,"adab{ki}
","of Adab 
","of Adab
"
204,"lugal-a-ni
","his master 
","his master
"
205,"1(bur3) 2(esze3) 1/2(iku) GAN2 1(u) la2 1/2(disz)-ta
","1 bur3 2 ee3 12 iku surface area at 1 less 1 each 
","1 bur3 2 ee3 12 iku surface area at 1 less 12 each
"
206,"AK-{d}en-lil2
","AKEnlil 
","apple
"
207,"1(gesz2) 5(u) la2 1(disz) geme2 u4 1(disz)-sze3
","19 female laborer days 
","111 female laborer days
"
208,"zi-ga sza3 tum-malx(TUR3){ki}
","booked out in Tummal 
","They lifted up the top of it
"
209,"i3 hur-sag su ku3-ga gal2-la-zu
","When you put ie apply oil of the mountains on your pure body 
","May it bring oil on the pure mountain range
"
210,"in-du3-a
","built 
","built
"
211,"ki-en-gi-ra ud5-sag-bi ge26-e-me-en
","I am the cosmic bond of Sumer 
","and to Sumer for the dike of Sumer
"
212,"ha-la ba-bi-a ha-ma-ni-in-gar-re-esz-am3
","they granted this to me as its lot and share 
","They looked at the base of the mountain range
"
213,"1(disz) masz-da3
","1 gazelle
","1 gazelle fawn
"
214,"szudum-zu ki i3-tag-tag-ge
","Your tallying stick is planted in the ground 
","So that the upper short side
"
215,"mes-he2 simug mu 3(u) 6(disz) i3-ak
","Mese the smith 36 years he ruled 
","The canal LeveeoftheLowForest
"
216,"szesz-gar
","had the egar 
","had the egar
"
217,"dingir ki-ag2-ga2-a-ni
","his beloved god
","his beloved god
"
218,"alan ARAD-ga2
","the statue of my servant 
","regarding the statue of my servant
"
219,"lugal-lu2-sa6-sa6
","Lugallusasa 
","xxx
"
220,"su-la2 sila4 ga
","dried cut of a suckling lamb 
","dried cut of a suckling lamb
"
221,"szu ab-ba-saga
","old Abbasaga 
","Abbasaga Abbasaga
"
222,"...-dub2 asz2 la-ga mu-...
","Has insulted as with clods he has cursed as with clods 
","I approached him like a robber
"
223,"mu {d}szu-{d}suen lugal-e ma2-dara3 abzu {d}en-ki-ka bi2-in-dim2
","year uSuen the king the boat Ibexofaps of Enki fashioned
","xxx
"
224,"a-sza3 du6-gesz-i3-ka
","field Hillockofplantoil 
","field HillockofUrbartab
"
225,"ebih-a ka-tar-gu10 he2-si-il-x me-tesz2 he2-i-i
","In Ebih the mountain should praise me the mountain should extol me 
","So that the upper short side may your name be praised
"
226,"u2-a uri5{ki}-ma
","provider of Ur 
","provider of Ur
"
227,"an-na
","metal
","Both Enlil and Ninlil looked at the sky
"
228,"1(disz) tu-u4 TUG2 = %a s,u2-ba-tum
","62 lines in this column
","62 lines in this column
"
229,"gu2 nu-gar-ra-bi
","Those of it that did not submit 
","to make the bank of the Euphrates
"
230,"nam-tar nam-ti-la
","and a fate of life 
","May a fate of life
"
231,"2(disz) udu niga 3(disz)-kam us2 2(disz) udu niga n-kam us2
","2 sheep barleyfed of 3rd grade 2 sheep barleyfed of th grade 
","2 sheep barleyfed of 3rd grade
"
232,"zi-ga sza3-bi su-ga
","bookedouts therefroms restoreds 
","credits therefroms restitutions of
"
233,"{d}nin-mar{ki}
","A statue of Ninmar 
","To Ninmar
"
234,"hur-sag disz-kam bi-ri-bala
","He traversed the first mountain range 
","He traversed the 6th mountain range
"
235,"ul-sze3 mu-gi4-gi4
","The city Dabala 
","Burubirds shrieking
"
236,"nin-da uru17{ki}-ni ba-an-da-gul-la2
","To the detriment of the lady her city is destroyed 
","To the detriment of the lady her city is destroyed
"
237,"u4-ba en-mete-na
","At that time Enmetena  
","At that time Enmetena
"
238,"{d}inanna
","To Inanna
","To Inanna
"
239,"lagasz{ki}-ke4
","of Laga 
","of Laga
"
240,"lugal-a-ni-ir
","his master 
","his master
"
241,"lu2 gesz udun i3-na-szum2-da
","for the one who will put wood into the oven for him the king 
","The person that the path have given birth from the herd
"
242,"2(asz) gu2 1(u) 4(disz) ma-na im-babbar2
","2 talents 14 mana of gypsum 
","2 talents 14 mana gypsum
"
243,"szu bi2-ib2-ur3-a
","shall erase 
","shall erase
"
244,"lagasz{ki}
","Upon the standard 
","of Laga
"
245,"ka-zal-lu{ki} e2-sza3-...
","She abandoned Kazallu and the Eaghulu temple and went down to the netherworld 
","So that the warehouses would be provisioned
"
246,"ARAD2 en-an-e-du7
","servant of Enanedu 
","servant of Enanedu
"
247,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
248,"ki-ag2 {d}en-lil2
","beloved of Enlil 
","beloved of Enlil
"
249,"... ku3-sig17 szu-na x ...
","The man removed the gold bracelet from upon her hand ie wrist 
","She took a wig for her forehead
"
250,"gu2-mur7-zu-ta za3 gu-du-zu-sze3 ...
","From your spine to the edge of your anus 
","So that the upper short side
"
251,"lugal uri5{ki}-ma
","king of Ur
","king of Ur
"
252,"ma2 e-dab5
","boats were seized 
","were seized
"
253,"... x x x ... x-x-gu10 na-dab5
","My son I shall instruct may  my instruction be seized 
","gebanda great tree decreeing fate greatly
"
254,"tir tu-ru-da i3-dab5
","the Turudawoods took in charge 
","the Quaywoods took in charge
"
255,"mes-an-ne2-pa3-da
","Mesanepada 
","Mesanepada
"
256,"hasz2-ba gur-ru-bi du10
","whose turning upon his thigh is good 
","saw
"
257,"lugal an-ub-da limmu2-ba
","king of the four corners
","king of the four corners
"
258,"dab gesztu2 dugud a-ga-asz gi4 e2-dub-ba-a-asz
","I will say to you  possessor of cumbersome intelligence backwards facing towards ie inferior one of the scribal school 
","Surpassing description
"
259,"i3-gal2
","xxx 
","xxx
"
260,"... x x x nig2-nam gal-zu x x ...
"," of everything wise one  
","Wise and attentive one of everything
"
261,"gurum2-ak erin2
","inspection of labortroops 
","inspections of the labortroops
"
262,"{na4}algamesz sa2 du11 u4-da gur3-ru zadim-e-ne he2-me-en
","algame stone you shall be the daily regular fare brought by the precious stone workers 
","The measuring rod the scepter that had fallen away from the city
"
263,"mu {d}szu-{d}suen lugal
","year uSuen is king
","xxx
"
264,"la2-ia3 su-ga sze
","deficit repaid of barley 
","debts of barley
"
265,"...-ma
","You are your own deliberator advisor and lord 
","of Ningirsu
"
266,"... x-gu10 a gesz-ge-na-gu10 HI-HI
"," alas my  alas my beautifulscratched limbs 
","So that my word is held against the eye of the bird
"
267,"lugal-a-ni
","his master
","his master
"
268,"n 5(disz) x x ...
"," 5  
","it is 5
"
269,"nibru{ki}
","of Nippur 
","for Nippur
"
270,"sum4 sa6-sa6 u2-lal3 gux(KA)-gux(KA)
","Possessing beautiful beards eating the ulal plant 
","Like a beard that makes the teeth you have fallen from the hand
"
271,"lugal
","king 
","king
"
272,"lu2-{d}inanna sukkal
","LuInanna the sukkal 
","LuInanna sukkal
"
273,"ARAD2-zu
","your servant 
","is your servant
"
274,"b'. i-na x-x-KI
","In the reedbed in the place of plenty birds  
","In order to admiresee the grain goddess Ezina of heaven
"
275,"er2-gu10 arhusz sza3-ne-sza4-gu10 x x he2-x-...
","May my tears  my compassion and mercy ie for me 
","I shall weep upon youon your compassion and mercy ie to my compassion
"
276,"ensi2-ke4 in-hul bi2-in-du11
","the governor treated her badly stated 
","The governor held high quality
"
277,"ud ba-hi-a di nu-til-le-dam
","The days have multiplied no decision has yet been made
","So that the warehouses would be provisioned
"
278,"musz3-me alan-a-ni
","and on the face of his statue 
","held his hand
"
279,"en gaba-ri nu-tuku
","lord nohaver of rival 
","having no rival
"
280,"lugal ki-ag2-ni-e
","his master who loved him 
","king who ran for the instructions
"
281,"gu2-ab-ba{ki}-sze3
","to Guabba 
","to Guabba
"
282,"1(u) 1(disz) kusz3 a-ba-mu-na-DU
","Gudea 
","the upper short side
"
283,"gu3-de2-a sag-sze3 nu2
","Gudea lying by the top 
","Gudea to give a house to sleep
"
284,"an-ta-sur-ra ga2-kam
","The Antasura is mine 
","Upon the standard
"
285,"abul nig2-ku5-da
","Gate of the Nigku taxes 
","As for the boxwood door
"
286,"szunigin 1(gesz2) 8(asz) 4(barig) 4(ban2) gur
","total 68 gur 4 barig 4 ban2
","total 68 gur 4 barig 4 ban2
"
287,"2(barig) sze-am3 al-ag2
","waren 2 barig Gerste dargemessen 
","2 barig barley ration of the herd
"
288,"mu en-mah-gal-an-na en {d}inanna ba-hun
","year Enmagalana as en priestess of Innana was installed 
","xxx
"
289,"... x x bi x ...
","Holy Inanna wept bitterly for her spouse 
","Enanatuma
"
290,"e2 ni2-bi {d}tir-an-na sag-bi an-sze3 ...
","The aura of the house is a rainbow its head is raised towards heaven  
","The house that gathers up for heaven
"
